,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
10,10,-0.12270090965051283,198966.57105505408,29.83161095175842,0.0764496487282906,9275.218754915928,139.28087019457658,0.04625126092222222,-0.04625126092222222,0.04625126092222222,-0.12270090965051283,0.12270090965051283,109.44956035289337,2751.980767801217,131743.97619176755,164679.97023970948,1.0,0.0,0.0,109.44956035289337,0.0,0.0,0.12270090965051283,109.44956035289337,29.83161095175842,139.28087019457658,109.44925924281819,1.0,0.8271725442451721,-174512.23121859858,9832.26097888915,9832.260978889151,0.0,0.0,0.0,0.0,0.0,0.0,-0.12270090965051283,0.12270090965051283,164679.97023970948,0.0,0.0,0.0,0.12270090965051283,-0.04625126092222222,9832.26097888915,-174512.23121859858,0.0
11,11,-0.14243777889070686,198453.79505104755,29.83075632508508,0.0898128972184846,9598.545184902476,139.4300977776473,0.05262488167222223,-0.05262488167222223,0.05262488167222223,-0.14243777889070686,0.14243777889070683,109.59974722297079,2753.868261471354,153145.31905221866,191431.64881527334,1.0,0.0,0.0,109.59974722297079,0.0,0.0,0.14243777889070683,109.59974722297079,29.83075632508508,139.4300977776473,109.59934145256224,1.0,0.9073690875066988,-191431.64881527328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14243777889070686,0.14243777889070683,191431.64881527334,0.0,0.0,0.0,0.14243777889070683,-0.05262488167222223,0.0,-191431.64881527328,0.0
12,12,-0.14228602005140736,197941.56537886246,29.829902608964773,0.08583122087362173,9907.537580047514,139.57270965232962,0.05645479917777778,-0.05645479917777778,0.05645479917777778,-0.14228602005140736,0.14228602005140736,109.74321194908845,2755.670062155003,153182.40602841962,191478.0075355245,1.0,0.0,0.0,109.74321194908845,0.0,0.0,0.14228602005140736,109.74321194908845,29.829902608964773,139.57270965232962,109.74280704336485,1.0,0.9075888237412905,-191478.0075355245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14228602005140736,0.14228602005140736,191478.0075355245,0.0,0.0,0.0,0.14228602005140736,-0.05645479917777778,0.0,-191478.0075355245,0.0
13,13,-0.13108234438662497,197469.66893907063,29.82911611489845,0.07794351520884919,10188.134234799372,139.70221580067664,0.05313882917777778,-0.05313882917777778,0.05313882917777778,-0.13108234438662497,0.13108234438662492,109.87344333709012,2757.3046408033,141288.21260743993,176610.2657592999,1.0,0.0,0.0,109.87344333709012,0.0,0.0,0.13108234438662494,109.87344333709012,29.82911611489845,139.70221580067664,109.87309968577819,1.0,0.8371170424435377,-176610.2657592999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13108234438662497,0.13108234438662492,176610.2657592999,0.0,0.0,0.0,0.13108234438662494,-0.05313882917777778,0.0,-176610.2657592999,0.0
14,14,-0.10992093526630863,197073.95357211193,29.828456589286844,0.058413760355197554,10398.423772078082,139.7992725101899,0.051507174911111106,-0.051507174911111106,0.051507174911111106,-0.10992093526630863,0.10992093526630864,109.97105757160571,2758.529192933546,118584.46888374756,148230.58610468445,1.0,0.0,0.0,109.97105757160571,-5.1325570870237426e-11,-2.5662785435118713e-11,0.10992093526630865,109.97105757160571,29.828456589286844,139.7992725101899,109.97081592090309,1.0,0.7025998704330214,-148230.58610468442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10992093526630863,0.10992093526630864,148230.58610468445,0.0,0.0,-2.5662785435118713e-11,0.10992093526630865,-0.051507174911111106,0.0,-148230.58610468442,0.0
15,15,0.0,197073.95357211187,29.828456589286844,-0.05225524624444988,10210.304885598063,139.71244840873754,0.05225524624444444,-0.05225524624444444,0.05225524624444444,0.0,0.0,109.88399181945069,2757.4369814397855,0.0,0.0,0.0,0.0,0.0,109.88399181945069,0.0,0.0,0.0,109.88399181945069,29.828456589286844,139.71244840873754,109.88399181945069,1.0,0.5186243614651183,-109416.46348548643,109416.46348548643,109416.46348548644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05225524624444444,109416.46348548643,-109416.46348548643,0.0
16,16,0.0,197073.95357211187,29.828456589286844,-0.055339081738888886,10011.084191338065,139.62050039600217,0.055339081738888886,-0.055339081738888886,0.055339081738888886,0.0,0.0,109.79204380671531,2756.283064896723,0.0,0.0,0.0,-3.0357660829594124e-18,0.0,109.79204380671531,0.0,0.0,0.0,109.79204380671531,29.828456589286844,139.62050039600217,109.79204380671531,0.0,0.32243077805000214,-68024.63994063236,68024.63994063236,68024.63994063236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0357660829594124e-18,0.0,0.0,-0.055339081738888886,68024.63994063236,-68024.63994063236,0.0
17,17,0.0,197073.95357211187,29.828456589286844,-0.060539685772222226,9793.141322558064,139.51991137964222,0.060539685772222226,-0.060539685772222226,0.060539685772222226,0.0,0.0,109.69145479035538,2755.0201531010453,0.0,0.0,0.0,0.0,0.0,109.69145479035538,0.0,0.0,0.0,109.69145479035538,29.828456589286844,139.51991137964222,109.6914547903554,1.0,0.11917990763987955,-25143.909506379005,25143.909506379005,25143.909506379005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060539685772222226,25143.909506379005,-25143.909506379005,0.0
18,18,0.0,197073.95357211187,29.828456589286844,-0.006790106403888889,9768.696939504063,139.5086293566942,0.006790106403888889,-0.006790106403888889,0.006790106403888889,0.0,0.0,109.68017276740737,2754.8784693212465,0.0,0.0,0.0,0.0,0.0,109.68017276740737,0.0,0.0,0.0,109.68017276740737,29.828456589286844,139.5086293566942,109.68017276740734,0.0,0.006622110122458065,-1397.0957098195167,1397.0957098195167,1397.095709819517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,1397.0957098195167,-1397.0957098195167,0.0
19,19,0.0,197073.95357211187,29.828456589286844,-0.022238088677777774,9688.639820264061,139.47167991704498,0.022238088677777778,-0.022238088677777778,0.022238088677777778,0.0,0.0,109.64322332775814,2754.414393693155,0.0,0.0,0.0,-8.451535929025797e-18,0.0,109.64322332775814,0.0,0.0,0.0,109.64322332775814,29.828456589286844,139.47167991704498,109.64322332775816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.451535929025797e-18,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
20,20,0.0,197073.95357211187,29.828456589286844,-0.02466775638444444,9599.835897280062,139.43069349105235,0.024667756384444444,-0.024667756384444444,0.024667756384444444,0.0,0.0,109.60223690176554,2753.8995230490177,0.0,0.0,0.0,-1.698248119685669e-18,0.0,109.60223690176554,0.0,0.0,0.0,109.60223690176554,29.828456589286844,139.43069349105235,109.60223690176552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.698248119685669e-18,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,197073.95357211187,29.828456589286844,-0.014273629191111107,9548.450832192062,139.4069773071656,0.014273629191111109,-0.014273629191111109,0.014273629191111109,0.0,0.0,109.57852071787873,2753.601556863096,0.0,0.0,0.0,0.0,0.0,109.57852071787873,0.0,0.0,0.0,109.57852071787873,29.828456589286844,139.4069773071656,109.57852071787872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,197073.95357211184,29.828456589286848,0.0,9548.450832192064,139.40697730716556,0.0,0.0,0.0,0.0,0.0,109.57852071787876,2753.6015568630964,0.0,0.0,0.0,0.0,0.0,109.57852071787876,0.0,0.0,0.0,109.57852071787876,29.828456589286848,139.40697730716556,109.57852071787873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,197073.95357211184,29.828456589286848,-0.013458564497778026,9500.00000000006,139.38461538461542,0.013458564497777777,-0.013458564497777777,0.013458564497777777,0.0,0.0,109.55615879532857,2753.320575854485,0.0,0.0,0.0,-6.892465910485853e-19,0.0,109.55615879532857,0.0,0.0,0.0,109.55615879532857,29.828456589286848,139.38461538461542,109.55615879532857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.892465910485853e-19,0.0,0.0,-0.013458564497777777,0.0,0.0,0.0
24,24,0.0,197073.9535721119,29.828456589286855,-0.0038888888888886446,9486.000000000062,139.3781538461539,0.0038888888888888888,-0.0038888888888888888,0.0038888888888888888,0.0,0.0,109.54969725686705,2753.2393797533723,0.0,0.0,0.0,-3.4351156478102133e-20,0.0,109.54969725686705,0.0,0.0,0.0,109.54969725686705,29.82845658928685,139.3781538461539,109.54969725686703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4351156478102133e-20,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0
25,25,0.0,197073.95357211193,29.828456589286855,-0.006300561886111678,9463.31797721006,139.3676852202508,0.006300561886111111,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.53922863096396,2753.1078255936436,0.0,0.0,0.0,-1.6263032587282567e-19,0.0,109.53922863096396,0.0,0.0,0.0,109.53922863096396,29.828456589286848,139.3676852202508,109.53922863096395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6263032587282567e-19,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0
