,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
15,15,-0.08126469177195778,197255.8477063347,29.828759746177223,0.029009445527513295,10028.41075137537,139.62849726986553,0.05225524624444444,-0.05225524624444444,0.05225524624444444,0.0,0.0,109.79986960269078,2756.381294594705,0.0,0.0,0.0,-0.08126469177195776,0.08126469177195775,109.79986960269075,2756.381319462184,87533.17078838916,109416.46348548646,1.0,0.08126469177195775,109.79986960269078,29.828759746177223,139.62849726986553,109.79973752368834,1.0,0.5186243614651183,-109416.46348548644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08126469177195776,0.08126469177195775,109416.46348548646,0.08126469177195775,-0.05225524624444444,0.0,-109416.46348548644,0.0
16,16,-0.050526148396014305,197073.95357210905,29.828456589286848,-0.004812933342873344,10011.084191341024,139.62050039600354,0.055339081738888886,-0.055339081738888886,0.055339081738888886,0.0,0.0,109.79209486426431,2756.2837057857782,0.0,0.0,0.0,-0.0505261483960143,0.0505261483960143,109.79209486426434,2756.283715399113,54419.711952505895,68024.63994063236,1.0,0.05052614839601554,109.79209486426431,29.828456589286855,139.62050039600354,109.79204380671672,1.0,0.32243077805000214,-68024.63994063236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0505261483960143,0.0505261483960143,68024.63994063236,0.05052614839601554,-0.055339081738888886,0.0,-68024.63994063236,0.0
17,17,0.0,197073.95357210902,29.828456589286848,-0.06053968577222345,9793.141322561021,139.51991137964356,0.060539685772222226,-0.060539685772222226,0.060539685772222226,0.0,0.0,109.6914547903567,2755.0201531010493,0.0,0.0,0.0,0.0,0.0,109.6914547903567,2755.0201531010493,0.0,0.0,0.0,0.0,109.6914547903567,29.828456589286855,139.51991137964356,109.6914547903567,1.0,0.11917990763987955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060539685772222226,0.0,0.0,0.0
18,18,0.0,197073.95357210902,29.82845658928685,-0.006790106403888889,9768.696939507023,139.50862935669554,0.006790106403888889,-0.006790106403888889,0.006790106403888889,0.0,0.0,109.68017276740869,2754.878469321263,0.0,0.0,0.0,0.0,0.0,109.68017276740869,2754.8784693212624,0.0,0.0,0.0,0.0,109.68017276740869,29.828456589286855,139.50862935669554,109.6801727674087,1.0,0.006622110122458065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,0.0,0.0,0.0
19,19,0.0,197073.95357210902,29.82845658928685,-0.022238088677777778,9688.639820267023,139.47167991704632,0.022238088677777778,-0.022238088677777778,0.022238088677777778,0.0,0.0,109.6432233277595,2754.4143936931705,0.0,0.0,0.0,0.0,0.0,109.64322332775947,2754.4143936931705,0.0,0.0,0.0,0.0,109.6432233277595,29.828456589286848,139.47167991704632,109.6432233277595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
20,20,0.0,197073.95357210905,29.82845658928685,-0.024667756384444444,9599.835897283025,139.43069349105372,0.024667756384444444,-0.024667756384444444,0.024667756384444444,0.0,0.0,109.6022369017669,2753.8995230490327,0.0,0.0,0.0,0.0,0.0,109.6022369017669,2753.8995230490327,0.0,0.0,0.0,0.0,109.6022369017669,29.828456589286848,139.43069349105372,109.6022369017669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,197073.953572109,29.82845658928685,-0.014273629191111109,9548.450832195023,139.40697730716693,0.014273629191111109,-0.014273629191111109,0.014273629191111109,0.0,0.0,109.57852071788008,2753.6015568631124,0.0,0.0,0.0,0.0,0.0,109.57852071788008,2753.6015568631124,0.0,0.0,0.0,0.0,109.57852071788008,29.828456589286848,139.40697730716693,109.57852071788007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,197073.953572109,29.828456589286848,0.0,9548.450832195023,139.40697730716693,0.0,0.0,0.0,0.0,0.0,109.57852071788007,2753.6015568631124,0.0,0.0,0.0,0.0,0.0,109.57852071788005,2753.6015568631124,0.0,0.0,0.0,0.0,109.57852071788007,29.828456589286848,139.40697730716693,109.57852071788005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,197073.95357210902,29.828456589286848,-0.013458564497777777,9500.000000003023,139.38461538461678,0.013458564497777777,-0.013458564497777777,0.013458564497777777,0.0,0.0,109.55615879532989,2753.3205758545027,0.0,0.0,0.0,0.0,0.0,109.5561587953299,2753.3205758545027,0.0,0.0,0.0,0.0,109.55615879532989,29.828456589286848,139.38461538461678,109.55615879532992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013458564497777777,0.0,0.0,0.0
24,24,0.0,197073.95357210902,29.828456589286848,-0.003888888888890142,9486.00000000302,139.37815384615524,0.0038888888888888888,-0.0038888888888888888,0.0038888888888888888,0.0,0.0,109.54969725686838,2753.239380286305,0.0,0.0,0.0,0.0,0.0,109.54969725686838,2753.239380286305,0.0,0.0,0.0,0.0,109.54969725686838,29.828456589286844,139.37815384615524,109.54969725686838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0
25,25,0.0,197073.95357210902,29.828456589286848,-0.006300561886111111,9463.317977213019,139.36768522025216,0.006300561886111111,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.53922863096533,2753.1078266516306,0.0,0.0,0.0,0.0,0.0,109.53922863096533,2753.1078266516306,0.0,0.0,0.0,0.0,109.53922863096533,29.828456589286844,139.36768522025216,109.53922863096533,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0
