,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
10,10,-0.12270100456462033,198966.5707328563,29.831610951221425,0.07644974364239811,9275.21907711271,139.2808703432828,0.04625126092222222,-0.046251260922222176,0.04625126092222222,-0.12270100456462033,0.12270100456462031,109.44956050269151,2751.980765844823,131744.08860961962,164680.11076202453,1.0,0.046251260922222176,109.3218187421292,29.83161095122143,139.1538461538462,109.44925939206136,1.0,0.8271725442451721,-174512.2312185986,9832.12045657408,9832.12045657408,0.0,0.0,0.0,0.0,0.0,0.0,59874.35465814764,0.046251260922222176,-0.04625126092222222,114637.87656045069,-174512.23121859838,0.0
11,11,-0.14243769385690977,198453.79503497147,29.83075632505829,0.08981281218468751,9598.545200977585,139.43009778506658,0.05262488167222223,-0.05262488167222219,0.05262488167222223,-0.14243769385690974,0.14243769385690977,109.59974722989485,2753.8682567649894,153145.23660892894,191431.54576116116,1.0,0.14290758550720545,109.47304287526558,29.83075632505829,139.30385433867946,109.59934146000828,1.0,0.9073690875066988,-191431.64881527328,0.1030541121268287,0.10305411212682869,0.0,0.0,0.0,0.0,0.0,0.0,191431.6488152729,0.14290758550720545,-0.05262488167222223,0.0,-191431.6488152729,0.0
12,12,-0.14228601895484574,197941.56536673405,29.82990260894456,0.08583121977706797,9907.53759217503,139.57270965792694,0.05645479917777778,-0.056454799177777716,0.05645479917777778,-0.14228601895484574,0.14228601895484572,109.74321195508003,2755.670056720073,153182.4060284196,191478.00753552446,1.0,0.14270991577409725,109.61721435380035,29.829902608944558,139.44717053240893,109.74280704898237,1.0,0.9075888237412905,-191478.0075355245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191478.007535524,0.14270991577409725,-0.05645479917777778,0.0,-191478.007535524,0.0
13,13,-0.1310823430022937,197469.66893192581,29.829116114886542,0.07794351382451592,10188.134241943286,139.70221580397384,0.05313882917777778,-0.05313882917777769,0.05313882917777778,-0.1310823430022937,0.1310823430022937,109.87344334064785,2757.3046347382187,141288.2126074399,176610.2657592999,1.0,0.1315602604310871,109.74824896180473,29.829116114886542,139.5774707566449,109.87309968908727,1.0,0.8371170424435377,-176610.2657592999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176610.2657592998,0.1315602604310871,-0.05313882917777778,0.0,-176610.2657592998,0.0
14,14,-0.10992093328392784,197073.95357210372,29.82845658928684,0.05841375837281673,10398.423772085425,139.79927251019328,0.051507174911111106,-0.05150717491111103,0.051507174911111106,-0.10992093328392784,0.10992093328392784,109.97105757313783,2758.5291929524747,118584.46888374753,148230.58610468442,1.0,0.11049464433277734,109.84621839338301,29.82845658928684,139.67548070583797,109.9708159209064,1.0,0.7025998704330214,-148230.58610468442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148230.58610468413,0.11049464433277734,-0.051507174911111106,0.0,-148230.58610468413,0.0
15,15,0.0,197073.95357210375,29.82845658928684,-0.05225524624444444,10210.304885605425,139.71244840874095,0.05225524624444444,-0.05225524624444433,0.05225524624444444,0.0,0.0,109.88399181945407,2757.43698143981,0.0,0.0,0.0,0.07214938191354055,109.87982768319986,29.82845658928684,139.70853557741134,109.8839918194541,1.0,0.5186243614651183,-109416.46348548644,109416.46348548644,109416.46348548643,0.0,0.0,0.0,0.0,0.0,0.0,96571.40028685472,0.07214938191354055,-0.05225524624444444,12845.063198631622,-109416.46348548627,0.0
16,16,0.0,197073.95357210378,29.82845658928684,-0.055339081738888796,10011.084191345426,139.62050039600558,0.055339081738888886,-0.055339081738888886,0.055339081738888886,0.0,8.326672684688674e-17,109.7920437971424,2756.283064896752,0.0,0.0,0.0,0.0011779208952291216,109.79008107411778,29.82845658928684,139.6185447255481,109.79204380671871,1.0,0.32243077805000214,-68024.63994063235,68024.63994063235,68024.63994063233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011779208952291216,-0.055339081738888886,68024.6399406323,-68024.6399406323,0.0
17,17,0.0,197073.95357210384,29.82845658928684,-0.060539685772222226,9793.141322565427,139.51991137964558,0.060539685772222226,-0.06053968577222211,0.060539685772222226,0.0,0.0,109.69145479035873,2755.020153101074,0.0,0.0,0.0,0.0,109.68949205775776,29.82845658928684,139.51795570918804,109.69145479035875,0.0,0.11917990763987955,-25143.909506379,25143.909506379,25143.909506378997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060539685772222226,25143.909506378965,-25143.909506378965,0.0
18,18,0.0,197073.95357210384,29.82845658928684,-0.006790106403888885,9768.696939511427,139.50862935669758,0.006790106403888889,-0.006790106403888882,0.006790106403888889,0.0,0.0,109.68017276741072,2754.878469321288,0.0,0.0,0.0,0.0,109.67821003480971,29.82845658928684,139.50667368624,109.68017276741074,1.0,0.006622110122458065,-1397.0957098195167,1397.095709819517,1397.0957098195167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,1397.0957098195167,-1397.0957098195147,0.0
19,19,0.0,197073.9535721039,29.82845658928684,-0.022238088677777768,9688.639820271426,139.47167991704836,0.022238088677777778,-0.022238088677777768,0.022238088677777778,0.0,0.0,109.64322332776155,2754.414393693196,0.0,0.0,0.0,0.0,109.64126059516053,29.82845658928684,139.46972424659077,109.64322332776153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
20,20,0.0,197073.95357210393,29.82845658928684,-0.024667756384444406,9599.835897287427,139.43069349105576,0.024667756384444444,-0.02466775638444439,0.024667756384444444,0.0,2.7755575615628914e-17,109.60223689220727,2753.899523049058,0.0,0.0,0.0,0.0011770238843942138,109.60223690176525,29.82845658928684,139.43069349105224,109.60223690176892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011770238843942138,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,197073.95357210396,29.82845658928684,-0.014273629191111109,9548.450832199425,139.40697730716897,0.014273629191111109,-0.014273629191111093,0.014273629191111109,0.0,0.0,109.57852071788214,2753.6015568631387,0.0,0.0,0.0,0.0,109.57852071787862,29.82845658928684,139.40697730716553,109.57852071788214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,197073.95357210402,29.82845658928684,0.0,9548.450832199425,139.40697730716897,0.0,0.0,0.0,0.0,0.0,109.57852071788214,2753.601556863138,0.0,0.0,0.0,0.0,109.57852071787862,29.82845658928684,139.40697730716553,109.57852071788214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,197073.95357210404,29.82845658928684,-0.01345856449777777,9500.000000007425,139.38461538461883,0.013458564497777777,-0.013458564497777749,0.013458564497777777,0.0,0.0,109.55615879533197,2753.3205758545278,0.0,0.0,0.0,0.0,109.55615879532833,29.82845658928684,139.38461538461527,109.55615879533198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013458564497777777,0.0,0.0,0.0
24,24,0.0,197073.95357210407,29.82845658928684,-0.003888888888888886,9486.000000007425,139.3781538461573,0.0038888888888888888,-0.0038888888888888797,0.0038888888888888888,0.0,0.0,109.54969725687046,2753.2393802863307,0.0,0.0,0.0,0.0,109.54969725686689,29.82845658928684,139.37815384615388,109.54969725687046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0
25,25,0.0,197073.95357210413,29.82845658928684,-0.006300561886111111,9463.317977217426,139.3676852202542,0.006300561886111111,-0.006300561886111103,0.006300561886111111,0.0,0.0,109.53922863096733,2753.1078266516565,0.0,0.0,0.0,0.0,109.53922863096369,29.82845658928684,139.36768522025076,109.53922863096734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0
