,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
23,23,0.0,197073.95357210634,29.828456589286844,-0.013458564497777558,9500.000000005586,139.38461538461797,0.013458564497777777,-0.013458564497777777,0.013458564497777777,0.0,0.0,109.55615879533114,2753.3205758545173,0.0,0.0,0.0,0.0,0.0,109.55615879533114,2753.3205758545173,0.0,0.0,0.0,0.0,109.55615879533114,29.82845658928684,139.38461538461797,109.55615879533114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013458564497777777,0.0,0.0,0.0
24,24,0.0,197073.95357210634,29.828456589286844,-0.003888888888891689,9486.000000005575,139.37815384615644,0.0038888888888888888,-0.0038888888888888888,0.0038888888888888888,0.0,0.0,109.54969725686956,2753.23938028632,0.0,0.0,0.0,0.0,0.0,109.54969725686958,2753.2393802863194,0.0,0.0,0.0,0.0,109.54969725686956,29.82845658928684,139.37815384615644,109.54969725686959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0
25,25,0.0,197073.95357210634,29.828456589286844,-0.006300561886111111,9463.317977215575,139.36768522025335,0.006300561886111111,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.5392286309665,2753.107826651645,0.0,0.0,0.0,0.0,0.0,109.5392286309665,2753.107826651645,0.0,0.0,0.0,0.0,109.5392286309665,29.82845658928684,139.36768522025335,109.5392286309665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0
26,26,0.0,197073.95357210634,29.828456589286844,-0.004898605666111111,9445.682996817575,139.3595459985312,0.004898605666111111,-0.004898605666111111,0.004898605666111111,0.0,0.0,109.53108940924434,2753.0055410523382,0.0,0.0,0.0,0.0,0.0,109.53108940924433,2753.005541052338,0.0,0.0,0.0,0.0,109.53108940924434,29.82845658928684,139.3595459985312,109.53108940924434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0
27,27,0.0,197073.95357210634,29.828456589286844,-0.005808921101666666,9424.770880851574,139.34989425270075,0.005808921101666666,-0.005808921101666666,0.005808921101666666,0.0,0.0,109.52143766341388,2752.8842426370707,0.0,0.0,0.0,0.0,0.0,109.52143766341389,2752.88424263707,0.0,0.0,0.0,0.0,109.52143766341388,29.828456589286844,139.34989425270075,109.5214376634139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0
28,28,0.0,197073.95357210634,29.828456589286844,-0.006556711727222222,9401.166718633576,139.33900002398474,0.006556711727222222,-0.006556711727222222,0.006556711727222222,0.0,0.0,109.51054343469787,2752.7473228839885,0.0,0.0,0.0,0.0,0.0,109.51054343469787,2752.747322883989,0.0,0.0,0.0,0.0,109.51054343469787,29.828456589286844,139.33900002398474,109.51054343469787,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0
29,29,0.0,197073.95357210634,29.828456589286844,-0.007012048015,9375.923345779578,139.32734923651367,0.007012048015,-0.007012048015,0.007012048015,0.0,0.0,109.49889264722681,2752.6008870884775,0.0,0.0,0.0,0.0,0.0,109.49889264722682,2752.6008870884784,0.0,0.0,0.0,0.0,109.49889264722681,29.828456589286844,139.32734923651367,109.49889264722681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0
30,30,0.0,197073.95357210634,29.828456589286844,-0.006066417089444444,9354.084244257578,139.31726965119583,0.006066417089444444,-0.006066417089444444,0.006066417089444444,0.0,0.0,109.48881306190898,2752.4741930491905,0.0,0.0,0.0,0.0,0.0,109.488813061909,2752.4741930491905,0.0,0.0,0.0,0.0,109.48881306190898,29.828456589286844,139.31726965119583,109.48881306190898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006066417089444444,0.0,0.0,0.0
31,31,0.0,197073.95357210634,29.828456589286844,-0.005193655942222221,9335.38708286558,139.30864019209181,0.005193655942222221,-0.005193655942222221,0.005193655942222221,0.0,0.0,109.48018360280497,2752.365721549438,0.0,0.0,0.0,0.0,0.0,109.480183602805,2752.365721549438,0.0,0.0,0.0,0.0,109.48018360280497,29.828456589286848,139.30864019209181,109.48018360280496,1.0,0.07477177315670108,-15774.929978671116,15774.929978671116,15774.929978671118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,15774.929978671116,-15774.929978671116,0.0
32,32,0.0,197073.95357210634,29.828456589286844,-0.002183373211444444,9327.526939304382,139.30501243352512,0.002183373211444444,-0.002183373211444444,0.002183373211444444,0.0,0.0,109.47655584423826,2752.320119684729,0.0,0.0,0.0,0.0,0.0,109.47655584423828,2752.320119684728,0.0,0.0,0.0,0.0,109.47655584423826,29.828456589286848,139.30501243352512,109.47655584423826,1.0,0.2358591708815945,-49760.24706124187,49760.24706124188,49760.24706124188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002183373211444444,49760.24706124188,-49760.24706124187,0.0
33,33,0.0,197073.95357210634,29.828456589286844,-0.018940665461666666,9259.340543642382,139.2735417893734,0.018940665461666666,-0.018940665461666666,0.018940665461666666,0.0,0.0,109.44508520008652,2751.924493826032,0.0,0.0,0.0,0.0,0.0,109.44508520008654,2751.924493826032,0.0,0.0,0.0,0.0,109.44508520008652,29.828456589286844,139.2735417893734,109.44508520008652,1.0,0.3846877203897489,-81159.26099659504,81159.26099659504,81159.26099659505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018940665461666666,81159.26099659504,-81159.26099659504,0.0
34,34,0.0,197073.95357210634,29.828456589286844,-0.01654799571833333,9199.767759056384,139.24604665802605,0.01654799571833333,-0.01654799571833333,0.01654799571833333,0.0,0.0,109.41759006873917,2751.578798639979,0.0,0.0,0.0,0.0,0.0,109.41759006873916,2751.578798639979,0.0,0.0,0.0,0.0,109.41759006873917,29.828456589286844,139.24604665802605,109.41759006873916,1.0,0.5137134929205837,-108380.39594082437,108380.39594082437,108380.39594082438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01654799571833333,108380.39594082437,-108380.39594082437,0.0
35,35,0.0,197073.95357210634,29.828456589286844,-0.025676938462777774,9107.330780590386,139.20338343719555,0.025676938462777774,-0.025676938462777774,0.025676938462777774,0.0,0.0,109.37492684790871,2751.042309675388,0.0,0.0,0.0,0.0,0.0,109.37492684790871,2751.042309675388,0.0,0.0,0.0,0.0,109.37492684790871,29.828456589286844,139.20338343719555,109.37492684790871,1.0,0.6112149495870927,-128950.70726016712,128950.70726016714,128950.7072601671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025676938462777774,128950.70726016714,-128950.70726016712,0.0
36,36,-0.04590533805512073,196908.69435510796,29.828181157258513,0.029576909388453917,9213.807654388818,139.2525266097179,0.016328428666666665,-0.016328428666666665,0.016328428666666665,-0.04590533805512073,0.045905338055120724,109.42438759764994,2751.6642756621713,49277.23397286624,61596.5424660828,1.0,0.0,0.0,109.42438759764995,2751.6642677135733,0.0,0.0,0.0,0.04590533805512035,109.42438759764994,29.82818115725851,139.2525266097179,109.42434545245939,1.0,0.6484390389437005,-136804.03717772386,75207.49471164106,75207.49471164106,0.0,0.0,0.0,0.0,0.0,0.0,-0.04590533805512073,0.045905338055120724,61596.5424660828,0.0,0.0,0.0,0.04590533805512035,-0.016328428666666665,75207.49471164106,-136804.03717772386,0.0
37,37,-0.08188682674098144,196613.9017788404,29.827689836298063,0.07331380452098932,9477.737350664378,139.37434031569123,0.00857302222,-0.00857302222,0.00857302222,0.0,0.0,109.54678458844103,2753.202778882026,0.0,0.0,0.0,-0.081886826740989,0.08188682674098903,109.54678458844106,2753.202804160713,88000.0,110000.0,1.0,0.08188682674098903,109.54678458844103,29.827689836298063,139.37434031569123,109.5466504793932,1.0,0.6048769083203855,-127613.54280674837,17613.542806748388,17613.542806748388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08188682674098144,0.08188682674098903,110000.0,0.08188682674098903,-0.00857302222,17613.542806748388,-127613.54280674837,0.0
38,38,-0.07807742193759248,196332.8230598651,29.82722137176644,0.07152796102037001,9735.238010337713,139.49318677400203,0.006549460917222222,-0.006549460917222222,0.006549460917222222,0.0,0.0,109.66608732380969,2754.70156891935,0.0,0.0,0.0,-0.07807742193759248,0.07807742193759248,109.66608732380966,2754.7015918883094,83997.57746337053,104996.97182921317,1.0,0.0780774219375925,109.66608732380969,29.82722137176644,139.49318677400203,109.66596540223557,1.0,0.49767636182026426,-104996.97182921316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07807742193759248,0.07807742193759248,104996.97182921317,0.0780774219375925,-0.006549460917222222,0.0,-104996.97182921316,0.0
39,39,0.0,196332.8230598651,29.82722137176644,-0.006416507906666667,9712.13858187371,139.48252549932633,0.006416507906666667,-0.006416507906666667,0.006416507906666667,0.0,0.0,109.65530412755989,2754.566134089431,0.0,0.0,0.0,0.0,0.0,109.65530412755992,2754.566134089431,0.0,0.0,0.0,0.0,109.65530412755989,29.82722137176644,139.48252549932633,109.65530412755989,1.0,0.32599011824461455,-68775.5696025866,68775.5696025866,68775.56960258662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006416507906666667,68775.5696025866,-68775.5696025866,0.0
40,40,0.0,196332.8230598651,29.82722137176644,-0.005731692862777777,9691.504487567714,139.47300207118508,0.005731692862777777,-0.005731692862777777,0.005731692862777777,0.0,0.0,109.64578069941865,2754.4465161537296,0.0,0.0,0.0,0.0,0.0,109.64578069941865,2754.4465161537296,0.0,0.0,0.0,0.0,109.64578069941865,29.82722137176644,139.47300207118508,109.64578069941865,1.0,0.11821470325038548,-24940.276089428127,24940.276089428127,24940.27608942813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005731692862777777,24940.276089428127,-24940.276089428127,0.0
41,41,0.0,196332.8230598651,29.82722137176644,-0.008467836731666666,9661.020275333713,139.45893243476942,0.008467836731666666,-0.008467836731666666,0.008467836731666666,0.0,0.0,109.63171106300298,2754.269786579359,0.0,0.0,0.0,0.0,0.0,109.63171106300297,2754.269786579359,0.0,0.0,0.0,0.0,109.63171106300298,29.82722137176644,139.45893243476942,109.63171106300297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008467836731666666,0.0,0.0,0.0
