,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
10,10,-0.08178817672692948,198971.60508769343,29.831619341812818,0.048751561782475014,9772.530490856481,139.5103986880876,0.033036614944444445,-0.033036614944444445,0.033036614944444445,0.0,0.0,109.67891313239015,2754.8626499107568,0.0,0.0,0.0,-0.08178817672692948,0.08178817672691946,109.67891313239018,2754.86267511355,88000.0,109999.99999999999,1.0,0.0,0.0,109.67891313239015,0.0,0.0,0.08178817672691946,109.67891313239015,29.831619341812818,139.5103986880876,109.67877934627477,1.0,0.8271725442451721,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08178817672692948,0.08178817672691946,109999.99999999999,0.0,0.0,0.0,0.08178817672691946,-0.033036614944444445,0.0,-109999.99999999999,0.0
11,11,-0.0817331531170108,198677.36573647222,29.831128942894125,0.044143951922565566,9931.448717777717,139.5837455620512,0.03758920119444445,-0.03758920119444445,0.03758920119444445,0.0,0.0,109.752750225322,2755.7897963445957,0.0,0.0,0.0,-0.0817331531170108,0.08173315311701004,109.75275022532202,2755.78982150502,88000.0,109999.99999999999,1.0,0.0,0.0,109.752750225322,0.0,0.0,0.08173315311701004,109.752750225322,29.831128942894125,139.5837455620512,109.75261661915711,1.0,0.9073690875066988,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0817331531170108,0.08173315311701004,109999.99999999999,0.0,0.0,0.0,0.08173315311701004,-0.03758920119444445,0.0,-109999.99999999999,0.0
12,12,-0.08168164909341481,198383.3117997359,29.830638852999563,0.04135679253787568,10080.333170914068,139.65246146349878,0.04032485655555556,-0.04032485655555556,0.04032485655555556,0.0,0.0,109.82195604833393,2756.658506446852,0.0,0.0,0.0,-0.08168164909341484,0.08168164909343123,109.82195604833393,2756.6585315676857,87999.99999999999,109999.99999999997,1.0,0.0,0.0,109.82195604833393,0.0,0.0,0.08168164909343123,109.82195604833393,29.83063885299957,139.65246146349878,109.82182261049923,1.0,0.9075888237412905,-109999.99999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08168164909341484,0.08168164909343123,109999.99999999997,0.0,0.0,0.0,0.08168164909343123,-0.04032485655555556,0.0,-109999.99999999997,0.0
13,13,-0.0816273532795451,198089.45332792954,29.83014908887988,0.04367104672399752,10237.548939120457,139.72502258728633,0.037956306555555555,-0.037956306555555555,0.037956306555555555,0.0,0.0,109.89500675890139,2757.5751828272764,0.0,0.0,0.0,-0.08162735327954511,0.08162735327955307,109.89500675890142,2757.5752079063855,88000.0,109999.99999999999,1.0,0.0,0.0,109.89500675890139,0.0,0.0,0.08162735327955306,109.89500675890139,29.83014908887988,139.72502258728633,109.89487349840647,1.0,0.8371170424435377,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08162735327954511,0.08162735327955307,109999.99999999999,0.0,0.0,0.0,0.08162735327955306,-0.037956306555555555,0.0,-109999.99999999999,0.0
14,14,-0.08157176973034463,197795.7949569003,29.8296596582615,0.0447809305081196,10398.760288949683,139.79942782566906,0.03679083922222222,-0.03679083922222222,0.03679083922222222,0.0,0.0,109.96990124647886,2758.5146795832825,0.0,0.0,0.0,-0.08157176973034465,0.08157176973034182,109.96990124647881,2758.5147046197167,88000.00000000001,110000.0,1.0,0.0,0.0,109.96990124647886,0.0,0.0,0.08157176973034183,109.96990124647886,29.829659658261498,139.79942782566906,109.96976816740757,1.0,0.7025998704330214,-110000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08157176973034465,0.08157176973034182,110000.0,0.0,0.0,0.0,0.08157176973034183,-0.03679083922222222,0.0,-110000.00000000001,0.0
15,15,-0.08108506272273087,197503.8887310985,29.829173147885168,0.0437598868338364,10556.295881551494,139.87213656071606,0.03732517588888889,-0.03732517588888889,0.03732517588888889,0.0,0.0,110.04309490857825,2759.4325316690583,0.0,0.0,0.0,-0.08108506272273087,0.08108506272272528,110.04309490857825,2759.4325563993903,87533.17078838915,109416.46348548643,1.0,0.0,0.0,110.04309490857825,0.0,0.0,0.08108506272272528,110.04309490857825,29.829173147885168,139.87213656071606,110.04296341283091,1.0,0.5186243614651183,-109416.46348548643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08108506272273087,0.08108506272272528,109416.46348548643,0.0,0.0,0.0,0.08108506272272528,-0.03732517588888889,0.0,-109416.46348548643,0.0
16,16,-0.050402520725431756,197322.43965648697,29.828870732760816,0.01087460519767578,10595.444460263123,139.89020513550602,0.03952791552777778,-0.03952791552777778,0.03952791552777778,0.0,0.0,110.06138521102534,2759.661845278459,0.0,0.0,0.0,-0.050402520725431756,0.050402520725453565,110.06138521102535,2759.6618548331235,54419.71195250589,68024.63994063236,1.0,0.0,0.0,110.06138521102534,0.0,0.0,0.05040252072545356,110.06138521102534,29.82887073276081,139.89020513550602,110.06133440274523,1.0,0.32243077805000214,-68024.63994063236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050402520725431756,0.050402520725453565,68024.63994063236,0.0,0.0,0.0,0.05040252072545356,-0.03952791552777778,0.0,-68024.63994063236,0.0
17,17,0.0,197322.4396564869,29.82887073276081,-0.04324263269444445,10439.770982563121,139.81835583810604,0.04324263269444445,-0.04324263269444445,0.04324263269444445,0.0,0.0,109.98948510534524,2758.7602920492413,0.0,0.0,0.0,0.0,0.0,109.98948510534525,2758.760292049242,0.0,0.0,0.0,-2.9239577339218448e-18,0.0,109.98948510534524,0.0,0.0,0.0,109.98948510534524,29.828870732760816,139.81835583810604,109.98948510534525,0.0,0.11917990763987955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9239577339218448e-18,0.0,0.0,-0.04324263269444445,0.0,0.0,0.0
18,18,0.0,197322.4396564869,29.828870732760816,-0.004850076002777778,10422.310708953113,139.81029725028603,0.004850076002777778,-0.004850076002777778,0.004850076002777778,0.0,0.0,109.98142651752525,2758.6592273006727,0.0,0.0,0.0,0.0,0.0,109.98142651752524,2758.6592273006727,0.0,0.0,0.0,0.0,0.0,109.98142651752525,0.0,0.0,0.0,109.98142651752525,29.82887073276081,139.81029725028603,109.98142651752522,0.0,0.006622110122458065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004850076002777778,0.0,0.0,0.0
19,19,0.1983292926484688,198036.4251100214,29.8300607085167,-0.21421364170402435,9651.141598818627,139.45437304560858,0.015884349055555556,-0.015884349055555556,0.015884349055555556,0.0,0.0,109.62352564718071,2754.1669181818734,0.0,0.0,0.0,0.0,0.0,109.6235256471807,2754.166918124631,0.0,0.0,0.0,-0.19832929264846882,0.1983292926484688,109.62352564718071,-213284.67070545317,-106642.33535272659,-0.19832929264846877,109.62352564718071,29.8300607085167,139.45437304560858,109.62431233709187,0.0,0.0,0.0,106642.33535272659,106642.33535272659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1983292926484688,-0.19832929264846882,-106642.33535272659,-0.19832929264846877,-0.015884349055555556,106642.33535272659,0.0,0.0
