,t,B4w.Q,B4w.W,B4w.z,B5w.Q,B5w.W,B5w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,EBpvw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P
10,10,0.0,229999.99999999997,429.4597414233086,-0.024854075672782226,123174.87044429075,448.3425176296913,-0.02485407567278221,0.02485407567278221,0.0,0.0,18.88277620638261,0.0,0.0,0.0,0.0,0.0,18.882776206382612,0.0,0.0,0.0,0.0,0.0,18.88277620638261,0.0,0.0,0.0,18.88277620638261,429.4597414233086,448.3425176296913,0.0,0.0,0.5137134929205837,-118811.65664267258,118811.65664267259,118811.65664267258,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02485407567278221,118811.65664267259,-118811.65664267258,0.0
11,11,0.0,229999.99999999997,429.4597414233086,-0.024533672480031687,123086.54922336264,448.3394755778872,-0.02453367248003169,0.02453367248003169,0.0,0.0,18.879734576869634,0.0,0.0,0.0,0.0,0.0,18.879734576869637,0.0,0.0,0.0,0.0,0.0,18.879734576869634,0.0,0.0,0.0,18.879734576869634,429.4597414233086,448.3394755778872,0.0002630217374336876,0.0002630217374336876,0.6112149495870927,-141361.7935405028,141361.79354050284,141361.79354050284,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02453367248003169,141361.79354050284,-141361.7935405028,0.0
12,12,0.0,229999.99999999997,429.4597414233086,-0.023578831030477008,123001.66543165292,448.3365519216129,-0.023578831030476994,0.023578831030476994,0.0,0.0,18.876810896633547,0.0,0.0,0.0,0.0,0.0,18.876810896633547,0.0,0.0,0.0,0.0,0.0,18.876810896633547,0.0,0.0,0.0,18.876810896633547,429.4597414233086,448.3365519216129,0.0002226007541709652,0.0002226007541709652,0.6484390389437005,-149970.98092689906,149970.98092689906,149970.98092689906,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023578831030476994,149970.98092689906,-149970.98092689906,0.0
13,13,0.0,229999.99999999997,429.4597414233086,-0.023800885680342002,122915.9822432037,448.33360073168063,-0.02380088568034197,0.02380088568034197,0.0,0.0,18.873859308371923,0.0,0.0,0.0,0.0,0.0,18.873859308371927,0.0,0.0,0.0,0.0,0.0,18.873859308371923,0.0,0.0,0.0,18.873859308371923,429.4597414233086,448.33360073168063,0.0,0.0,0.6048769083203855,-139895.93135633878,139895.93135633875,139895.93135633878,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02380088568034197,139895.93135633875,-139895.93135633878,0.0
14,14,0.0,229999.99999999997,429.4597414233086,-0.022041225863955075,122836.63383009346,448.3308677307017,-0.022041225863955075,0.022041225863955075,0.0,0.0,18.87112638091991,0.0,0.0,0.0,0.0,0.0,18.871126380919907,0.0,0.0,0.0,0.0,0.0,18.87112638091991,0.0,0.0,0.0,18.87112638091991,429.4597414233086,448.3308677307017,0.00024286262539414697,0.00024286262539414697,0.49767636182026426,-115102.58896179071,115102.58896179071,115102.58896179071,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022041225863955075,115102.58896179071,-115102.58896179071,0.0
15,15,0.0,229999.99999999997,429.4597414233086,-0.019930282711422595,122764.88481233234,448.32839647604015,-0.0199302827114226,0.0199302827114226,0.0,0.0,18.868655052731405,0.0,0.0,0.0,0.0,0.0,18.868655052731405,0.0,0.0,0.0,0.0,0.0,18.868655052731405,0.0,0.0,0.0,18.868655052731405,429.4597414233086,448.32839647604015,0.0,0.0,0.32599011824461455,-75394.99454761445,75394.99454761445,75394.99454761446,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0199302827114226,75394.99454761445,-75394.99454761445,0.0
16,16,0.0,229999.99999999997,429.4597414233086,-0.020012125120843695,122692.8411618973,448.32591507333217,-0.020012125120843695,0.020012125120843695,0.0,0.0,18.866173650023438,0.0,0.0,0.0,0.0,0.0,18.866173650023445,0.0,0.0,0.0,0.0,0.0,18.866173650023438,0.0,0.0,0.0,18.866173650023438,429.4597414233086,448.32591507333217,0.0002578307307783378,0.0002578307307783378,0.11821470325038548,-27340.696567749153,27340.696567749153,27340.696567749153,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020012125120843695,27340.696567749153,-27340.696567749153,0.0
17,17,1.379040256969524e-07,230000.00049645445,429.45974144317006,-0.019511840659001592,122622.59853552488,448.3234957033773,-0.0195117027549759,0.0195117027549759,0.0,0.0,18.863754416418075,0.0,0.0,0.0,0.0,0.0,18.863754416418075,0.0,0.0,0.0,-1.379040256969524e-07,1.379040256969524e-07,18.863754416418075,-0.03152948944279368,-0.015764744721396842,-1.379040256969524e-07,18.863754416418075,429.45974144316995,448.3234957033773,2.849112040754873e-06,2.987016066451825e-06,0.0,0.0,0.015764744721396842,0.01576474472139684,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.379040256969524e-07,-1.379040256969524e-07,-0.015764744721396842,-1.379040256969524e-07,-0.0195117027549759,0.015764744721396842,0.0,0.0
18,18,0.17764103867658756,230639.50823569018,429.4853258867844,-0.1961979308904382,121916.28598431931,448.2991681482539,-0.018556892213848045,0.018556892213848045,0.0,0.0,18.62121607668683,0.0,0.0,0.0,0.0,0.0,18.62121607668683,0.0,0.0,0.0,-0.17764103867659028,0.17764103867659034,18.62121607668683,-32450.42770665891,-16225.213853329456,-0.1776410386765903,18.62121607668683,429.48532588678427,448.2991681482539,0.0,0.1776410386765903,0.0,0.0,16225.213853329453,16225.213853329455,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17764103867658756,-0.17764103867659028,-16225.213853329456,-0.1776410386765903,-0.018556892213848045,16225.213853329453,0.0,0.0
19,19,0.026462941904624844,230734.7748265468,429.48913716626157,-0.044189022790938205,121757.20550227194,448.293688932021,-0.017726080886313368,0.017726080886313368,0.0,0.0,18.80027708918811,0.0,0.0,0.0,0.0,0.0,18.80027708918811,0.0,0.0,0.0,-0.026462941904624837,0.026462941904624844,18.80027708918811,-4880.580426234688,-2440.290213117344,-0.026462941904624834,18.80027708918811,429.48913716626157,448.293688932021,0.0,0.02646294190462484,0.0,0.0,2440.290213117344,2440.2902131173437,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026462941904624844,-0.026462941904624837,-2440.290213117344,-0.026462941904624834,-0.017726080886313368,2440.290213117344,0.0,0.0
20,20,7.409480454413123e-09,230734.77485322094,429.48913716732875,-0.016924415841787558,121696.27760524148,448.2915903897098,-0.016924408432307202,0.016924408432307202,0.0,0.0,18.802453887520244,0.0,0.0,0.0,0.0,0.0,18.802453887520244,0.0,0.0,0.0,-7.4094803576919265e-09,7.409480357691927e-09,18.802453887520244,-0.0016624934851204923,-0.0008312467425602463,-7.409480357691927e-09,18.802453887520244,429.48913716732875,448.2915903897098,0.00012791267477206035,0.00012792008425241804,0.0,0.0,0.0008312467425602463,0.0008312467425602463,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.409480454413122e-09,-7.4094803576919265e-09,-0.0008312467425602463,-7.409480357691927e-09,-0.016924408432307202,0.0008312467425602463,0.0,0.0
21,21,0.0,230734.77485322097,429.48913716732875,-0.015675973983110145,121639.84409890231,448.28964664790044,-0.01567597398310815,0.01567597398310815,0.0,0.0,18.8005094805716,0.0,0.0,0.0,0.0,0.0,18.8005094805716,0.0,0.0,0.0,0.0,0.0,18.8005094805716,0.0,0.0,0.0,18.8005094805716,429.48913716732875,448.28964664790044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01567597398310815,0.0,0.0,0.0
22,22,0.0,230734.77485322097,429.48913716732875,-0.016857764332892284,121579.15614730387,448.2875563700407,-0.016857764332892284,0.016857764332892284,0.0,0.0,18.798419202711912,0.0,0.0,0.0,0.0,0.0,18.798419202711905,0.0,0.0,0.0,0.0,0.0,18.798419202711912,0.0,0.0,0.0,18.798419202711912,429.48913716732875,448.2875563700407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016857764332892284,0.0,0.0,0.0
23,23,0.0,230734.77485322097,429.48913716732875,-0.016432263139544132,121520.00000000151,448.2855188521856,-0.016432263139544132,0.016432263139544132,0.0,0.0,18.796381684856776,0.0,0.0,0.0,0.0,0.0,18.796381684856772,0.0,0.0,0.0,0.0,0.0,18.796381684856776,0.0,0.0,0.0,18.796381684856776,429.48913716732875,448.2855188521856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016432263139544132,0.0,0.0,0.0
