,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,BatsDim.E,BatsDim.P,BatsDim.Pch,BatsDim.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P,batebsdim_expanded.P
10,10,5.756415800735452e-12,2500.0,4.0,-8.727431075799728e-12,5.408643323812937e-09,67.00000000000722,6.335760662571113e-12,7.899208282759106e-08,77.00000000031596,0.0,0.0,62.99999997003411,0.0,0.0,0.0,0.0,0.0,72.99999997034254,0.0,0.0,0.0,-7.540426927928524e-12,0.0,62.99999997003411,-5.091676761820788e-06,-4.0733414188669625e-06,1.9926580614879698e-09,62.99999997003411,4.000000029973217,67.00000000000722,1.4610161374238993e-07,1.4410895568187802e-07,-3.3128816846355382e-09,72.99999997034254,4.000000029973217,77.00000000031596,1.4345430766961746e-07,1.4676718934691926e-07,0.0,0.0,1.9851333095172837e-09,62.99999997003411,4.000000029973217,67.00000000000722,1.4609801025139043e-07,1.4411287695349997e-07,0.4947892561983471,-32002.96911524494,23489.038541262013,23489.03876727171,0.00022600969838724083,0,0.006994595826312525,0.0002502073294725773,0.026790378657016965,0.02654017132754439,-8513.930327868853,8513.930327868853,-8513.930327868853,0.0,0.0,0.0,0.0,0.0,-4.073341423572129e-06,3.977807057589223e-09,3.98533180955991e-09,-6.625219018527344e-09,0.0,0.0,-32002.96911524494,23489.038541262013,8513.930327868853,0.0002502073294725773
11,11,-0.0193394140192814,2430.3781345082643,3.9164537614099175,0.01933941396916908,69.62189029441735,67.09282918705922,2.811226179715884e-12,8.791494508770396e-08,77.00000000035166,-0.01933942778731903,0.019339427787382204,63.25117804220443,12000.0,15000.0,2.0,0.0,0.0,73.08354623894155,0.0,6.384912132139031e-19,0.0,-3.829283356346333e-09,3.829347145608376e-09,63.176375425649084,-0.002373237583130012,-0.0018985900665040097,0.019339427787445372,63.25117804220443,3.9164537614099175,67.09282918705922,0.0193394178499695,0.0,-3.327363835028454e-09,73.08354623894155,3.9164537614099175,77.00000000035166,1.4344714068056154e-07,1.4677450451400026e-07,0.0,0.0,-3.82922018599696e-09,63.176375425649084,3.9164537614099175,67.09282918705922,1.4320136348452302e-07,1.470305836725207e-07,0.6409132231404959,-41454.267381335674,19242.106100825757,19242.10632777656,0.00022695080238273966,0,0.006314802206322796,-0.0007553262444330317,0.026287611870275732,0.027042938114708762,-7212.163934426229,7212.163934426229,-7212.163934426229,-0.019339427787255857,15000.0,0.0,1.1958219894641705e-14,3.829410855383112e-09,-0.0018985900665040097,-3.829157013646889e-09,0.019339427787508544,-6.653897131873459e-09,0.0,0.0,-41454.267381335674,19242.106100825757,7212.163934426229,-0.0007553262444330317
12,12,-0.038334170062475664,2292.375122283352,3.7508501467400226,0.03833417001471528,207.6249023473924,67.27683320312985,5.574618915307529e-12,1.0678647610578332e-07,77.00000000042715,-0.03833418356924638,0.03833418356930955,63.819884829549245,24000.0,30000.0,4.0,0.0,0.0,73.24914985368693,0.0,3.453604085546516e-17,0.0,-3.5683372716456268e-09,3.5684005910961993e-09,63.52598305638963,-0.002223751725297785,-0.001779001380238228,0.038334183569372716,63.819884829549245,3.7508501467400226,67.27683320312985,0.03833417360263767,0.0,-3.3261000484946148e-09,73.24914985368693,3.7508501467400226,77.00000000042715,1.4344776385374228e-07,1.4677386390062792e-07,0.0,0.0,-3.5682741040129424e-09,63.52598305638963,3.7508501467400226,67.27683320312985,1.4333729841773892e-07,1.4690557252646657e-07,0.7208243801652893,-46622.92105576076,10160.369621849073,10160.370028499514,0.0004066504410273058,0,0.006255604292614618,-6.577545967575105e-05,0.02663238726241852,0.026698162722094274,-6462.553278688524,6462.553278688524,-6462.553278688524,-0.03833418356918321,30000.0,0.0,3.5627702846894656e-13,3.5684640083569986e-09,-0.001779001380238228,-3.568210931665551e-09,0.03833418356943589,-6.65136970690503e-09,0.0,0.0,-46622.92105576076,10160.369621849073,6462.553278688524,-6.577545967575105e-05
13,13,-0.038128304566116655,2155.113225845332,3.586135871014399,0.038128304517722006,344.88679861119164,67.45984906481493,5.281612105987139e-12,1.2460389878925953e-07,77.00000000049842,-0.03812831780190695,0.038128317801970124,64.16446676547902,24000.0,30000.0,4.0,0.0,0.0,73.41386412948381,0.0,3.453819281760232e-17,0.0,-3.2974738759391848e-09,3.2975364627295394e-09,63.873713193800334,-0.0020662008450850426,-0.001652960676068034,0.038128317802033296,64.16446676547902,3.586135871014399,67.45984906481493,0.038128307835420275,0.0,-3.3241104504223404e-09,73.41386412948381,3.586135871014399,77.00000000049842,1.4344874824976504e-07,1.4677285869806934e-07,0.0,0.0,-3.2974107078275397e-09,63.873713193800334,3.586135871014399,67.45984906481493,1.4347213721416955e-07,1.4676954792622217e-07,0.7740681818181818,-50066.730167073205,13920.764729183282,13920.765136086702,0.000406903420471214,0,0.00798982884680319,0.001926916171320639,0.027628733079459313,0.025701816908138678,-6145.9651639344265,6145.9651639344265,-6145.9651639344265,-0.03812831780184378,30000.0,0.0,3.5627557158727134e-13,3.297599425623895e-09,-0.001652960676068034,-3.2973475354908306e-09,0.03812831780209647,-6.647390722859847e-09,0.0,0.0,-50066.730167073205,13920.764729183282,6145.9651639344265,0.001926916171320639
14,14,-0.037925685486172304,2018.5807580951118,3.4222969097141345,0.037925685438921435,481.4192661913088,67.64189235492174,4.846825462515154e-12,1.4085658788393054e-07,77.00000000056343,-0.03792569881560825,0.03792569881567142,64.50726702014555,24000.0,30000.0,4.0,0.0,0.0,73.5777030908491,0.0,3.4540336057316216e-17,0.0,-3.3911819061410886e-09,3.3912447264274666e-09,64.2195954452074,-0.0021364250382469702,-0.001709140030597576,0.03792569881573459,64.50726702014555,3.4222969097141345,67.64189235492174,0.03792568884924604,0.0,-3.322726057887922e-09,73.5777030908491,3.4222969097141345,77.00000000056343,1.4344943294582225e-07,1.467721590011335e-07,0.0,0.0,-3.3911187378786642e-09,64.2195954452074,3.4222969097141345,67.64189235492174,1.4342595487151084e-07,1.468170736134532e-07,0.7646280991735537,-49456.145621699754,13006.309911535905,13006.310314853528,0.00040331762336846545,0,0.009208185940104911,0.0013537301036685807,0.027342140044851807,0.025988409941183226,-6449.836065573771,6449.836065573771,-6449.836065573771,-0.03792569881554508,30000.0,0.0,3.562749360894861e-13,3.3913078341921327e-09,-0.001709140030597576,-3.391055565552539e-09,0.03792569881579776,-6.6446220867311375e-09,0.0,0.0,-49456.145621699754,13006.309911535905,6449.836065573771,0.0013537301036685807
15,15,2.3912990322517222e-08,2018.5808441818772,3.4222970130182526,-1.4021553920565004e-08,481.4192157137147,67.64189228761829,4.203190163880333e-12,1.5479279709607803e-07,77.00000000061918,0.0,0.0,64.21959527460004,0.0,0.0,0.0,0.0,0.0,73.57770298760073,0.0,0.0,0.0,-4.036766822830381e-09,4.036830887952907e-09,64.21959527459981,-0.0025431398047528224,-0.0020345118438022582,-4.5044185216801187e-13,64.21959527460004,3.4222970130182526,67.64189228761829,1.4510197114862662e-07,1.451024215939136e-07,-3.321052775299815e-09,73.57770298760073,3.4222970130182526,77.00000000061918,1.4345026035178638e-07,1.467713131238116e-07,0.0,0.0,-4.03670365401154e-09,64.21959527459981,3.4222970130182526,67.64189228761829,1.431068646540328e-07,1.4714356831154113e-07,0.6864651639344261,-44400.566949475695,37192.87812252627,37192.878514626995,0.00039210072229239635,0,0.00946712557613669,0.00028771070670197385,0.026809130345640073,0.026521419638938094,-7207.690573770492,7207.690573770492,-7207.690573770492,0.0,0.0,0.0,0.0,4.036894767281021e-09,-0.0020345118438022582,-4.036640481695903e-09,-3.872695365308754e-13,-6.641262158137938e-09,0.0,0.0,-44400.566949475695,37192.87812252627,7207.690573770492,0.00028771070670197385
16,16,2.5389276606692965e-08,2018.580935583273,3.4222971226999275,-1.5496441192478768e-08,481.41915992652645,67.64189221323537,3.3873312704209525e-12,1.6579268666386256e-07,77.00000000066318,0.0,0.0,64.21959509053545,0.0,0.0,0.0,0.0,0.0,73.57770287796305,0.0,0.0,0.0,-5.5130934649674364e-09,5.513158589254593e-09,64.21959509053512,-0.0034732170603476373,-0.00277857364827811,-4.506063227970033e-13,64.21959509053545,3.4222971226999275,67.64189221323537,1.4510197102426111e-07,1.451024216340109e-07,-3.3189070788534386e-09,73.57770287796305,3.4222971226999275,77.00000000066318,1.4345132224838088e-07,1.4677022932287813e-07,0.0,0.0,-5.513030295174053e-09,64.21959509053512,3.4222971226999275,67.64189221323537,1.4237958836861643e-07,1.4789261866631294e-07,0.6104897540983607,-39486.477423559496,32687.344353695138,32687.34456962673,0.00021593159218500415,0,0.01000942625631826,0.0006025563113128588,0.02696655314806228,0.02636399683674942,-6799.13524590164,6799.13524590164,-6799.13524590164,0.0,0.0,0.0,0.0,5.513223120196865e-09,-0.00277857364827811,-5.51296712285822e-09,-3.874340069637996e-13,-6.63697098366148e-09,0.0,0.0,-39486.477423559496,32687.344353695138,6799.13524590164,0.0006025563113128588
17,17,3.560697522477559e-08,2018.5810637683837,3.4222972765220607,-2.571240058322676e-08,481.4190673618844,67.64189208981584,2.4144197112793063e-12,1.732911934883349e-07,77.00000000069316,0.0,0.0,64.21959481329378,0.0,0.0,0.0,0.0,0.0,73.5777027241709,0.0,0.0,0.0,-1.5730676287659023e-08,1.573074051143591e-08,64.21959481329287,-0.009910235218372815,-0.007928188174698252,-4.506107264568663e-13,64.21959481329378,3.4222972765220607,67.64189208981584,1.451019721637065e-07,1.4510242277758998e-07,-3.3158543552260527e-09,73.5777027241709,3.4222972765220607,77.00000000069316,1.4345283234525887e-07,1.4676868669419317e-07,0.0,0.0,-1.573061311435793e-08,64.21959481329287,3.4222972765220607,67.64189208981584,1.3741995071072536e-07,1.5315056382409823e-07,0.49282377049180326,-31875.84157381596,23483.54039454366,23483.540606252274,0.00021170861623976767,0,0.009722552074805059,-0.00031874909057022407,0.026505900447011815,0.026824649537582037,-8392.309426229509,8392.309426229509,-8392.309426229509,0.0,0.0,0.0,0.0,1.5730804416930304e-08,-0.007928188174698252,-1.5730549942041902e-08,-3.8743841043009765e-13,-6.630865844484696e-09,0.0,0.0,-31875.84157381596,23483.54039454366,8392.309426229509,-0.00031874909057022407
18,18,5.18529223078529e-07,2018.5829304735869,3.4222995165683043,-5.086328838427042e-07,481.4172362835026,67.64188964837801,1.331441449404594e-12,1.7689265921641348e-07,77.00000000070757,0.0,0.0,64.21959013180971,0.0,0.0,0.0,0.0,0.0,73.57770048413907,0.0,0.0,0.0,-4.986530549412819e-07,4.986531166710149e-07,64.2195901317534,-0.3141485220494414,-0.2513188176395531,-4.4987597443557984e-13,64.21959013180971,3.4222995165683043,67.64188964837801,1.4510197250396306e-07,1.45102422383e-07,-3.3111849165755994e-09,73.57770048413907,3.4222995165683043,77.00000000070757,1.4345514338285055e-07,1.467663282897664e-07,0.0,0.0,-4.98652996627024e-07,64.2195901317534,3.4222995165683043,67.64188964837801,3.29830347505241e-08,5.316360362356064e-07,0.3590081967213115,-23220.650202275916,14498.494725548315,14498.494933494303,0.0002079459881534511,0,0.008830364017130927,-0.0009913200640823663,0.026169614960622686,0.027160935024705055,-8722.407786885246,8722.407786885246,-8722.407786885246,0.0,0.0,0.0,0.0,4.986531791267081e-07,-0.2513188176395531,-4.986529334547079e-07,-3.8670365822572397e-13,-6.62152794373653e-09,0.0,0.0,-23220.650202275916,14498.494725548315,8722.407786885246,-0.0009913200640823663
19,19,0.053261147657220766,2210.3230620395816,3.652387674447498,-0.05326113775847849,289.67714035298,67.38623618713731,-6.43081595293387e-14,1.754722283537284e-07,77.00000000070189,0.0,0.0,63.73384851268982,0.0,0.0,0.0,0.0,0.0,73.3476123262542,0.0,0.0,0.0,-0.053261127780976754,0.053261127781039926,63.1664991786604,-33003.969235311946,-26403.175388249558,-4.4939482441036575e-13,63.73384851268982,3.652387674447498,67.38623618713731,1.4510197179987063e-07,1.4510242119811978e-07,-3.3034004227094535e-09,73.3476123262542,3.652387674447498,77.00000000070189,1.434589967827606e-07,1.467623971891377e-07,0.0,0.0,-0.05326112778091358,63.1664991786604,3.652387674447498,67.38623618713731,0.0,0.05326111780790157,0.19441803278688524,-12574.958306186967,29073.921826696864,29073.922031999628,0.0002053027653369558,0,0.005863806676727858,-0.003296174822670076,0.025017187585423584,0.02831336240809366,-9904.215163934427,9904.215163934427,-9904.215163934427,0.0,0.0,0.0,0.0,0.0532611277811031,-26403.175388249558,-0.05326112778085041,-3.862229266368919e-13,-6.605960112652418e-09,0.0,0.0,-12574.958306186967,29073.921826696864,9904.215163934427,-0.003296174822670076
