,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.signQ,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.signQ,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
10,10,-0.009690393362593462,2465.114583894663,3.9581375006735966,0.00969039336259347,34.88541610534171,67.04651388814045,0.0,0.0,77.0,-0.009690393362593462,0.009690393362593468,63.11654750214315,6000.0,7500.0,1.0,0.0,0.0,73.04186249932641,0.0,0.0,0.0,0.0,0.0,63.08837638746686,0.0,0.0,0.0,63.26004576463298,3.958137500673596,67.1368661919121,1.0,0.0,73.12317957272087,3.958137500673596,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,58.982977267380875,3.958137500673596,67.1368661919121,0.0,0.2743739669421487,-17746.50818181818,1248.0247107437983,1248.024710743798,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-8998.48347107438,8998.483471074376,-8998.48347107438,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-17746.508181818164,40748.024710743746,8998.48347107438
11,11,-0.019301318635598523,2395.6298368065086,3.8747558041678096,0.019301318635598513,104.37016319349635,67.13916021759134,0.0,0.0,77.0,-0.019301318635598523,0.019301318635598513,63.376166623110464,11999.999999999998,14999.999999999998,1.9999999999999996,0.0,0.0,73.12524419583218,0.0,0.0,0.0,0.0,0.0,63.26440441342353,0.0,0.0,0.0,62.999999999999915,3.8747558041678105,67.0000000000001,1.0,0.0,73.0000000000001,3.8747558041678096,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,58.72293150274797,3.8747558041678096,67.0000000000001,0.0,0.3891363636363636,-25169.339999999997,2614.059008264463,2614.059008264463,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-7555.280991735537,7555.280991735538,-7555.280991735537,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-25169.340000000022,49614.05900826453,7555.280991735537
12,12,-0.02877082735364607,2292.054858333383,3.75046583000006,0.02877082735364601,207.94514166662202,67.27726018888885,0.0,0.0,77.0,-0.028770827353646073,0.028770827353646014,63.77512248714808,18000.0,22500.0,3.0,0.0,0.0,73.24953416999992,0.0,0.0,0.0,0.0,0.0,63.52679435888877,0.0,0.0,0.02851378998167984,58.722931502748004,3.7504658300000595,67.0000000000001,1.0,0.0,73.0000000000001,3.7504658300000595,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,58.722931502748004,3.7504658300000595,67.0000000000001,0.0,0.45316322314049584,-29310.59727272727,267.90925619834434,267.90925619834434,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-6542.688016528926,6542.688016528923,-6542.688016528926,-0.02851378998167984,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.02851378998167984,0.0,0.0,0.0,-29310.597272727256,54767.909256198305,6542.688016528926
13,13,-0.028654322641018096,2188.8992968257176,3.6266791561908613,0.02865432264101827,311.1007031742878,67.41480093756573,0.0,0.0,77.0,-0.0286543226410181,0.028654322641018262,64.0344428325785,18000.0,22500.0,3.0,0.0,0.0,73.37332084380914,0.0,0.0,0.0,0.0,0.0,63.78812178137486,0.0,0.0,0.028513789981680797,58.72293150274793,3.6266791561908613,67.0000000000001,1.0,0.0,73.0000000000001,3.6266791561908613,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,58.722931502748004,3.6266791561908605,67.0000000000001,0.0,0.46292561983471076,-29942.02909090909,875.6964462809996,875.6964462809995,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-6566.332644628099,6566.332644628093,-6566.332644628099,-0.028513789981680797,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.028513789981680797,0.0,0.0,0.0,-29942.029090909087,55375.69644628105,6566.332644628099
14,14,-0.028539214826057046,2086.158123451912,3.5033897481422946,0.028539214826056987,413.84187654809296,67.5517891687308,0.0,0.0,77.0,-0.028539214826057042,0.028539214826056987,64.29272237568613,18000.0,22500.0,3.0,0.0,0.0,73.49661025185769,0.0,0.0,0.0,0.0,0.0,64.0483994205885,0.0,0.0,0.33333333333333315,15.779954235367102,3.503389748142294,68.46313380808799,1.0,0.0,74.31682042727915,3.503389748142294,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,61.502885738115054,3.503389748142294,68.46313380808799,0.0,0.43194214876033055,-27938.01818181818,-1363.1188705234165,0.0,1363.1188705234167,0.0,4.656612873077392e-11,0.0,0.0,0.0,-6801.137052341598,6801.137052341601,-6801.137052341598,-0.33333333333333315,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.33333333333333315,0.0,0.0,0.0,-27938.018181818163,53136.881129476504,6801.137052341598
15,15,-0.019015031332983896,2017.7040106531701,3.421244812783804,0.019015031332983955,482.2959893468352,67.64306131912912,0.0,0.0,77.0,-0.019015031332983896,0.01901503133298395,64.33028782957625,12000.0,15000.000000000002,2.0000000000000004,0.0,0.0,73.57875518721619,0.0,0.0,0.0,0.0,0.0,64.22181650634532,0.0,0.0,0.0,65.51990847073418,3.4212448127838044,68.32626761617585,1.0,0.0,74.19364085455831,3.4212448127838035,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,61.2428399734823,3.4212448127838035,68.32626761617585,0.0,0.34693801652892564,-22439.950909090912,584.6403030303048,584.6403030303048,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-6855.310606060606,6855.3106060606015,-6855.310606060606,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-22439.95090909089,47584.64030303033,6855.310606060606
16,16,0.0,2017.7040106531701,3.421244812783804,0.0,482.2959893468342,67.64306131912912,0.0,0.0,77.0,0.0,0.0,64.2218165063453,0.0,0.0,0.0,0.0,0.0,73.57875518721619,0.0,0.0,0.0,0.0,0.0,64.22181650634532,0.0,0.0,0.0,65.25986270610125,3.4212448127838035,68.18940142426378,0.0,0.0,74.07046128183745,3.4212448127838035,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,60.98279420884916,3.4212448127838035,68.18940142426378,0.0,0.23656611570247935,-15301.096363636363,7570.988925619833,7570.988925619833,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-7730.107438016529,7730.107438016521,-7730.107438016529,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-15301.096363636332,39570.988925619844,7730.107438016529
17,17,0.0031254406711389952,2028.9555970692704,3.434746716483125,-0.003125440671138983,471.04440293073384,67.62805920390765,0.0,0.0,77.0,0.0,0.0,64.19331248742454,0.0,0.0,0.0,0.0,0.0,73.56525328351688,0.0,0.0,0.0,-0.0031254406711389835,0.0031254406711389835,64.19038275304452,-1968.1153925619822,-1574.4923140495857,0.0,64.99981694146834,3.4347467164831245,68.05253523235179,0.0,0.0,73.94728170911661,3.4347467164831245,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,60.72274844421631,3.4347467164831245,68.05253523235179,0.0,0.11436776859504133,-7397.307272727273,0.0,0.0,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-8971.799586776859,8971.799586776853,-8971.799586776859,0.0,0.0,0.0,0.0,0.0031254406711389957,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-7397.307272727272,30425.507685950382,8971.799586776859
18,18,0.045522182353277534,2192.8354535410695,3.6314025442492834,-0.045522182353277506,307.1645464589348,67.40955272861193,0.0,0.0,77.0,0.0,0.0,63.77815018436265,0.0,0.0,0.0,0.0,0.0,73.36859745575072,0.0,0.0,0.0,-0.045522182353277506,0.0455221823532775,63.156469572553995,-28203.94938502276,-22563.159508018212,0.0,64.73977117683533,3.631402544249283,67.91566904043965,0.0,0.0,73.82410213639562,3.631402544249283,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,60.462702679583444,3.631402544249283,67.91566904043965,0.0,0.033196280991735536,-2147.135454545454,14946.495375786806,14946.495375786808,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-9763.799586776859,9763.799586776853,-9763.799586776859,0.0,0.0,0.0,0.0,0.04552218235327755,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-2147.135454545454,24383.335867768572,9763.799586776859
19,19,0.020371467305773452,2266.1727358418543,3.7194072830102254,-0.020371467305773425,233.82726415815054,67.3117696855442,0.0,0.0,77.0,0.0,0.0,63.59236240253398,0.0,0.0,0.0,0.0,0.0,73.28059271698977,0.0,0.0,0.0,-0.020371467305773425,0.02037146730577342,63.46786340109079,-12683.716570861508,-10146.973256689207,0.0,64.47972541220241,3.7194072830102245,67.77880284852758,0.0,0.0,73.70092256367485,3.7194072830102245,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,60.20265691495052,3.7194072830102245,67.77880284852758,0.0,0.006446280991735537,-416.94545454545454,246.87119057350463,246.87119057350463,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-10317.047520661157,10317.04752066115,-10317.047520661157,0.0,0.0,0.0,0.0,0.020371467305773456,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-416.9454545454541,22099.89793388427,10317.047520661157
20,20,0.021461986437414503,2343.435887016546,3.8121230644198554,-0.0214619864374145,156.56411298345836,67.20875215064463,0.0,0.0,77.0,0.0,0.0,63.39662908622476,0.0,0.0,0.0,0.0,0.0,73.18787693558015,0.0,0.0,0.0,-0.021461986437414503,0.021461986437414503,63.25845620581961,-13318.607024793388,-10654.885619834711,0.0,64.21967964756946,3.8121230644198545,67.6419366566155,0.0,0.0,73.57774299095406,3.8121230644198545,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,59.94261115031751,3.8121230644198554,67.6419366566155,0.0,0.00041735537190082644,-26.994545454545456,0.0,0.0,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-10681.880165289256,10681.880165289245,-10681.880165289256,0.0,0.0,0.0,0.0,0.021461986437414506,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-26.994545454545428,21345.114380165283,10681.880165289256
21,21,0.021812367478213954,2421.9604099381163,3.9063524919257397,-0.02181236747821407,78.0395900618878,67.1040527867492,0.0,0.0,77.0,0.0,0.0,63.19770029482345,0.0,0.0,0.0,0.0,0.0,73.09364750807426,0.0,0.0,0.0,-0.02181236747821407,0.02181236747821407,63.05497520252916,-13492.466425619832,-10793.973140495866,0.0,63.95963388293669,3.9063524919257397,67.50507046470342,0.0,0.0,73.45456341823312,3.9063524919257397,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,59.68256538568459,3.9063524919257397,67.50507046470342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-10793.973140495867,10793.973140495867,-10793.973140495867,0.0,0.0,0.0,0.0,0.021812367478213957,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,0.0,21206.02685950413,10793.973140495867
22,22,0.021677663906078493,2499.999999999999,3.9999999999999996,-0.02167766390607867,4.6060932845648495e-12,67.00000000000003,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,-0.021677663906078667,0.021677663906078663,62.85902388286385,-13367.528409090906,-10694.022727272726,0.0,63.69958811830368,3.999999999999999,67.36820427279143,0.0,0.0,73.33138384551224,3.999999999999999,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,59.422519621051755,3.9999999999999996,67.36820427279143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-10694.022727272728,10694.02272727272,-10694.022727272728,0.0,0.0,0.0,0.0,0.02167766390607867,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,0.0,21305.977272727243,10694.022727272728
23,23,0.0,2499.999999999999,3.9999999999999996,0.0,0.0,67.00000000000001,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,63.439542353670724,3.999999999999999,67.23133808087924,0.0,0.0,73.20820427279139,3.999999999999999,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,59.16247385641894,3.999999999999999,67.23133808087924,0.0,0.0,0.0,-10595.690082644629,0.0,10595.690082644629,0.0,4.656612873077392e-11,0.0,0.0,0.0,-10595.690082644629,10595.690082644625,-10595.690082644629,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,0.0,21404.309917355346,10595.690082644629
