,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.signQ,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.signQ,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
10,10,0.009361676426631547,2126.0981712510684,3.551317805501282,-0.009361676426631552,373.90182874893014,67.49853577166525,0.0,1.730171561575844e-12,77.0,0.0,0.0,63.947217966163954,0.0,0.0,0.0,0.0,0.0,73.44868219449873,0.0,0.0,0.0,-0.009361676426631554,0.009361676426631552,63.92093627521046,-5870.37458677686,-4696.299669421487,0.0,63.947217966163954,3.5513178055012817,67.49853577166525,0.0,0.0,73.44868219449873,3.5513178055012817,77.0,0.0,0.0,0.0,-0.009361676426631554,63.92093627521046,3.551317805501282,67.49853577166525,0.0,0.2743739669421487,-4302.183801652892,0.0,0.0,0.0,0.0,-8998.48347107438,8998.48347107438,-8998.48347107438,0.0,0.0,0.0,0.0,0.009361676426631545,-4696.299669421487,-0.009361676426631554,0.0,0.0,0.0,0.0,-4302.183801652892,0.0,8998.48347107438
11,11,0.002897793879770782,2136.530229218243,3.5638362750618917,-0.0028977938797709745,363.4697707817546,67.48462636104234,0.0,0.0,77.0,0.0,0.0,63.92079008598045,0.0,0.0,0.0,0.0,0.0,73.4361637249381,0.0,0.0,0.0,-0.0028977938797709745,0.002897793879770975,63.91827251174775,-1817.028512396694,-1453.6228099173552,0.0,63.92079008598045,3.5638362750618913,67.48462636104234,0.0,0.0,73.4361637249381,3.5638362750618913,77.0,0.0,0.0,0.0,-0.0028977938797709745,63.91827251174775,3.5638362750618926,67.48462636104234,0.0,0.3891363636363636,-6101.658181818181,0.0,0.0,0.0,0.0,-7555.280991735537,7555.280991735537,-7555.280991735537,0.0,0.0,0.0,0.0,0.0028977938797707823,-1453.6228099173552,-0.0028977938797709745,0.0,0.0,0.0,0.0,-6101.658181818181,0.0,7555.280991735537
12,12,0.0,2136.530229218243,3.5638362750618917,0.0,363.4697707817546,67.48462636104234,0.0,0.0,77.0,0.0,0.0,63.92079008598045,0.0,0.0,0.0,0.0,0.0,73.43616372493811,0.0,0.0,0.0,0.0,0.0,63.92079008598045,0.0,0.0,0.0,63.92079008598045,3.5638362750618913,67.48462636104234,1.0,0.0,73.43616372493811,3.5638362750618913,77.0,0.0,0.0,0.0,0.0,63.92079008598045,3.5638362750618913,67.48462636104234,0.0,0.45316322314049584,-7105.599338842976,562.9113223140502,562.9113223140503,0.0,0.0,-6542.688016528926,6542.688016528926,-6542.688016528926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7105.599338842976,562.9113223140502,6542.688016528926
13,13,0.0,2136.5302292182428,3.5638362750618917,0.0,363.4697707817546,67.48462636104234,0.0,0.0,77.0,0.0,0.0,63.92079008598045,0.0,0.0,0.0,0.0,0.0,73.43616372493811,0.0,0.0,0.0,0.0,0.0,63.92079008598045,0.0,0.0,0.0,63.92079008598045,3.5638362750618913,67.48462636104234,0.0,0.0,73.43616372493811,3.5638362750618913,77.0,1.0,0.0,0.0,0.0,63.92079008598045,3.5638362750618913,67.48462636104234,0.0,0.46292561983471076,-7258.673719008264,692.3410743801655,692.3410743801657,0.0,0.0,-6566.332644628099,6566.332644628099,-6566.332644628099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7258.673719008264,692.3410743801655,6566.332644628099
14,14,0.0,2136.5302292182428,3.5638362750618913,0.0,363.4697707817546,67.48462636104234,0.0,0.0,77.0,0.0,0.0,63.920790085980464,0.0,0.0,0.0,0.0,0.0,73.4361637249381,0.0,0.0,0.0,0.0,0.0,63.92079008598045,0.0,0.0,0.0,63.920790085980464,3.563836275061891,67.48462636104234,1.0000000000000002,0.0,73.4361637249381,3.563836275061891,77.0,0.0,0.0,0.0,0.0,63.92079008598045,3.563836275061891,67.48462636104234,0.0,0.43194214876033055,-6772.852892561983,-28.284159779615756,0.0,28.284159779615756,0.0,-6801.137052341598,6801.137052341598,-6801.137052341598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6772.852892561983,-28.284159779615756,6801.137052341598
15,15,0.0,2136.5302292182428,3.5638362750618913,0.0,363.4697707817546,67.48462636104234,0.0,0.0,77.0,0.0,0.0,63.92079008598045,0.0,0.0,0.0,0.0,0.0,73.4361637249381,0.0,0.0,0.0,0.0,0.0,63.92079008598045,0.0,0.0,0.0,63.92079008598045,3.563836275061891,67.48462636104234,0.0,0.0,73.4361637249381,3.563836275061891,77.0,0.0,0.0,0.0,0.0,63.92079008598045,3.563836275061891,67.48462636104234,0.0,0.34693801652892564,-5439.9880991735545,-1415.3225068870513,0.0,1415.3225068870513,0.0,-6855.310606060606,6855.310606060606,-6855.310606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5439.9880991735545,-1415.3225068870513,6855.310606060606
16,16,0.008026661830019436,2165.4262118063125,3.598511454167576,-0.008026661830019608,334.57378819368404,67.44609838425825,0.0,0.0,77.0,0.0,0.0,63.84758693009067,0.0,0.0,0.0,0.0,0.0,73.40148854583242,0.0,0.0,0.0,-0.008026661830019606,0.008026661830019608,63.82826936266955,-5025.9384297520655,-4020.7507438016523,0.0,63.84758693009067,3.5985114541675753,67.44609838425825,0.0,0.0,73.40148854583242,3.5985114541675753,77.0,0.0,0.0,0.0,-0.008026661830019606,63.82826936266955,3.5985114541675753,67.44609838425825,0.0,0.23656611570247935,-3709.356694214876,0.0,0.0,0.0,0.0,-7730.107438016529,7730.107438016529,-7730.107438016529,0.0,0.0,0.0,0.0,0.008026661830019436,-4020.7507438016523,-0.008026661830019606,0.0,0.0,0.0,0.0,-3709.356694214876,0.0,7730.107438016529
17,17,0.014369632343611393,2217.1568882433135,3.660588265891976,-0.014369632343611454,282.8431117566828,67.37712414900892,0.0,0.0,77.0,0.0,0.0,63.71653588311694,0.0,0.0,0.0,0.0,0.0,73.33941173410801,0.0,0.0,0.0,-0.014369632343611457,0.014369632343611457,63.654592890723634,-8973.141219008265,-7178.5129752066105,0.0,63.71653588311694,3.6605882658919766,67.37712414900892,0.0,0.0,73.33941173410801,3.6605882658919766,77.0,0.0,0.0,0.0,-0.014369632343611457,63.654592890723634,3.6605882658919766,67.37712414900892,0.0,0.11436776859504133,-1793.286611570248,0.0,0.0,0.0,0.0,-8971.799586776859,8971.799586776859,-8971.799586776859,0.0,0.0,0.0,0.0,0.014369632343611395,-7178.5129752066105,-0.014369632343611457,0.0,0.0,0.0,0.0,-1793.286611570248,0.0,8971.799586776859
18,18,0.018564259049426608,2283.9882208212493,3.740785864985499,-0.01856425904942679,216.01177917874634,67.28801570557168,0.0,1.730171561575844e-12,77.0,0.0,0.0,63.54722984058617,0.0,0.0,0.0,0.0,0.0,73.25921413501449,0.0,0.0,0.0,-0.018564259049426785,0.018564259049426785,63.443841240299385,-11554.102376033057,-9243.281900826445,0.0,63.54722984058617,3.7407858649854986,67.28801570557168,0.0,0.0,73.25921413501449,3.7407858649854986,77.0,0.0,0.0,0.0,-0.018564259049426785,63.443841240299385,3.740785864985499,67.28801570557168,0.0,0.033196280991735536,-520.5176859504131,0.0,0.0,0.0,0.0,-9763.799586776859,9763.799586776859,-9763.799586776859,0.0,0.0,0.0,0.0,0.018564259049426608,-9243.281900826445,-0.018564259049426785,0.0,0.0,0.0,0.0,-520.5176859504131,0.0,9763.799586776859
19,19,0.020586437864619656,2358.0993971338803,3.829719276560656,-0.020586437864619896,141.90060286611472,67.18920080382149,0.0,0.0,77.0,0.0,0.0,63.35948152726082,0.0,0.0,0.0,0.0,0.0,73.17028072343933,0.0,0.0,0.0,-0.0205864378646199,0.020586437864619903,63.232344995290944,-12769.962293388431,-10215.969834710744,0.0,63.35948152726082,3.8297192765606565,67.18920080382149,0.0,0.0,73.17028072343933,3.8297192765606565,77.0,0.0,0.0,0.0,-0.0205864378646199,63.232344995290944,3.829719276560657,67.18920080382149,0.0,0.006446280991735537,-101.07768595041324,0.0,0.0,0.0,0.0,-10317.047520661157,10317.047520661157,-10317.047520661157,0.0,0.0,0.0,0.0,0.020586437864619656,-10215.969834710744,-0.0205864378646199,0.0,0.0,0.0,0.0,-101.07768595041324,0.0,10317.047520661157
20,20,0.021583616763077886,2435.8004174809603,3.922960500977153,-0.021583616763078125,64.19958251903347,67.08559944335872,0.0,0.0,77.0,0.0,0.0,63.16263894238158,0.0,0.0,0.0,0.0,0.0,73.07703949902285,0.0,0.0,0.0,-0.02158361676307813,0.02158361676307813,63.02288408565348,-13344.170041322313,-10675.336033057853,0.0,63.16263894238158,3.922960500977152,67.08559944335872,0.0,0.0,73.07703949902285,3.922960500977152,77.0,0.0,0.0,0.0,-0.02158361676307813,63.02288408565348,3.9229605009771533,67.08559944335872,0.0,0.00041735537190082644,-6.544132231404959,0.0,0.0,0.0,0.0,-10681.880165289256,10681.880165289256,-10681.880165289256,0.0,0.0,0.0,0.0,0.02158361676307813,-10675.336033057853,-0.02158361676307813,0.0,0.0,0.0,0.0,-6.544132231404959,0.0,10681.880165289256
21,21,0.017833217366399864,2499.999999999999,3.999999999999999,-0.017833217366399864,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000001,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,-0.017833217366399864,0.017833217366399867,62.90459436096183,-11004.81376824179,-8803.851014593432,0.0,63.00000000000001,3.9999999999999987,67.0,0.0,0.0,73.0,3.9999999999999987,77.0,0.0,0.0,0.0,-0.017833217366399864,62.90459436096183,3.9999999999999987,67.0,0.0,0.0,0.0,-1990.1221259024358,0.0,1990.1221259024358,0.0,-10793.973140495867,10793.973140495867,-10793.973140495867,0.0,0.0,0.0,0.0,0.017833217366399864,-8803.851014593432,-0.017833217366399864,0.0,0.0,0.0,0.0,0.0,-1990.1221259024358,10793.973140495867
22,22,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,1.730171561575844e-12,77.0,0.0,0.0,63.000000000000014,0.0,8.09450572302152e-12,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000001,0.0,0.0,0.0,63.000000000000014,3.9999999999999996,67.0,0.0,0.0,73.0,3.9999999999999996,77.0,0.0,0.0,0.0,0.0,63.00000000000001,3.9999999999999996,67.0,1.0,0.0,0.0,-10694.022727272735,0.0,10694.022727272733,0.0,-10694.022727272728,10694.022727272728,-10694.022727272728,0.0,8.09450572302152e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10694.022727272735,10694.022727272728
23,23,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000001,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,63.00000000000001,3.999999999999999,67.0,0.0,0.0,73.0,3.999999999999999,77.0,0.0,0.0,0.0,0.0,63.000000000000014,3.999999999999999,67.0,0.0,0.0,0.0,-10595.690082644629,0.0,10595.690082644629,0.0,-10595.690082644629,10595.690082644629,-10595.690082644629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10595.690082644629,10595.690082644629
