,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,batebs_expanded.P,loadebs_expanded.P
10,10,-0.009691829406418035,2465.1094141368944,3.958131296964273,0.009691829406418035,34.89058586311016,67.0465207811508,0.0,-4.735495731074478e-12,76.99999999999997,-0.009691829406418035,0.009691829406418034,63.10717579558023,6000.0,7500.0,1.0,0.0,0.0,73.04186188356374,0.0,0.0,0.0,0.0,0.0,63.08839971516682,0.0,0.0,0.009691829406418034,63.10717579558023,3.9581312969642735,67.0465207811508,0.009691829406418034,0.0,0.0,73.04186188356374,3.9581312969642735,76.99999999999997,1.2040911274668e-05,1.2040911274667998e-05,0.0,0.0,0.0,63.08839971516682,3.9581312969642735,67.0465207811508,1.0557892086868952e-07,1.0557892086868952e-07,0.4947892561983471,-32002.96909090909,15989.038763040237,15989.03876304024,0.0,0,14400000.0,0.0,0.0,0.0,-8513.930327868853,8513.930327868853,-8513.930327868853,-0.009691829406418035,7500.0,0.0,0.0,0.0,0.0,0.0,0.009691829406418034,0.0,0.0,0.0,-32002.96909090909,15989.038763040237,0.0,8513.930327868853
11,11,0.0,2465.109414136894,3.958131296964274,0.0,34.89058586311016,67.0465207811508,0.0,-4.735495731074478e-12,76.99999999999997,0.0,0.0,63.088380879061916,0.0,0.0,0.0,0.0,0.0,73.04186870303569,0.0,0.0,0.0,0.0,0.0,63.08840004207899,0.0,0.0,0.0,63.088380879061916,3.958131296964274,67.0465207811508,8.605124619981262e-08,8.605124619981265e-08,0.0,73.04186870303569,3.958131296964274,76.99999999999997,0.0,0.0,0.0,0.0,0.0,63.08840004207899,3.958131296964274,67.0465207811508,0.0,0.0,0.6409132231404959,-41454.26727272727,34242.10333830104,34242.10333830104,0.0,0,14400000.0,0.0,0.0,0.0,-7212.163934426229,7212.163934426229,-7212.163934426229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41454.26727272727,34242.10333830104,0.0,7212.163934426229
12,12,-0.028887045178623887,2361.116051493848,3.833339261792618,0.028887045178623887,138.88394850615612,67.1851785980082,0.0,-4.735495731074478e-12,76.99999999999997,-0.028887045178623887,0.02888704517862389,63.51871785605314,18000.0,22500.0,3.0,0.0,0.0,73.16666073820737,0.0,0.0,0.0,0.0,0.0,63.35183933621559,0.0,0.0,0.02888704517862389,63.51871785605314,3.833339261792618,67.1851785980082,0.028887045178623894,0.0,0.0,73.16666073820737,3.833339261792618,76.99999999999997,0.0,0.0,0.0,0.0,0.0,63.35183933621559,3.833339261792618,67.1851785980082,0.0,0.0,0.7208243801652893,-46622.9209090909,17660.367630402372,17660.367630402372,0.0,0,14400000.0,0.0,0.0,0.0,-6462.553278688524,6462.553278688524,-6462.553278688524,-0.028887045178623887,22500.0,0.0,0.0,0.0,0.0,0.0,0.02888704517862389,0.0,0.0,0.0,-46622.9209090909,17660.367630402372,0.0,6462.553278688524
13,13,-0.03583894256661316,2232.095858254041,3.678515029904849,0.025305220980305326,229.9827440352553,67.30664365871367,0.010533721586307835,37.921397710703474,77.1516855908428,-0.019202604815124577,0.01920260481512457,63.7018572215059,11999.999999999998,14999.999999999998,1.9999999999999996,-0.016636337751488588,0.016636337751488588,73.52851108895196,12000.0,15000.0,2.0,0.0,0.0,63.628141915330296,0.0,0.0,0.01920260481512457,63.7018572215059,3.6785150299048492,67.30664365871367,0.019202604815124577,0.0,0.016636337751488588,73.52851108895196,3.6785150299048492,77.1516855908428,0.01663633775148859,0.0,-0.006102616165180753,0.006102616165180754,0.0,63.628141915330296,3.6785150299048492,67.30664365871367,0.0,0.0,0.7740681818181818,-50066.729999999996,13920.764836065571,13920.764836065573,0.0,0,14400000.0,0.0,0.0,0.0,-6145.9651639344265,6145.9651639344265,-6145.9651639344265,-0.019202604815124577,14999.999999999998,-0.016636337751488588,15000.0,0.0,0.0,0.0,0.01920260481512457,0.016636337751488588,-0.006102616165180753,0.006102616165180753,-50066.729999999996,13920.764836065571,0.0,6145.9651639344265
14,14,-0.009596462840261728,2197.548592029099,3.637058310434919,0.009596462840261727,264.53001026019757,67.35270668034693,0.0,37.921397710703474,77.1516855908428,-0.009596462840261728,0.009596462840261728,63.73405526426483,5999.999999999999,7499.999999999999,0.9999999999999998,0.0,0.0,73.51462047989423,0.0,0.0,0.0,0.0,0.0,63.71566034806253,0.0,0.0,0.009596462840261728,63.73405526426483,3.6370583104349183,67.35270668034693,0.009596462840261728,0.0,0.0,73.51462047989423,3.637058310434919,77.1516855908428,6.800513671827218e-08,6.800513671827218e-08,0.0,0.0,0.0,63.71566034806253,3.637058310434919,67.35270668034693,8.164032869322724e-06,8.164032869322722e-06,0.7646280991735537,-49456.14545454545,7506.3093889716765,7506.309388971677,0.0,0,115200000.0,28000.0,31111.111111111106,0.0,-6449.836065573771,6449.836065573771,-6449.836065573771,-0.009596462840261728,7499.999999999999,0.0,0.0,0.0,0.0,0.0,0.009596462840261728,0.0,0.0,0.0,-49456.14545454545,7506.3093889716765,28000.0,6449.836065573771
15,15,-0.009583371056821716,2163.0484562245406,3.5956581474694493,0.009583371056821716,299.03014606475574,67.39870686141968,0.0,37.92139771070348,77.1516855908428,-0.009583371056821716,0.009583371056821718,63.82141393180753,6000.0,7500.0,1.0,0.0,0.0,73.55602064285969,0.0,0.0,0.0,0.0,0.0,63.803059271842514,0.0,0.0,0.009583371056821718,63.82141393180753,3.5956581474694493,67.39870686141968,0.009583371056821716,0.0,0.0,73.55602064285969,3.5956581474694493,77.1516855908428,6.800513681511183e-08,6.800513681511183e-08,0.0,0.0,0.0,63.803059271842514,3.5956581474694493,67.39870686141968,1.6892609762170642e-06,1.6892609762170638e-06,0.6864651639344261,-44400.566803278685,29692.876229508187,29692.87622950819,0.0,0,115200000.0,0.0,0.0,0.0,-7207.690573770492,7207.690573770492,-7207.690573770492,-0.009583371056821716,7500.0,0.0,0.0,0.0,0.0,0.0,0.009583371056821718,0.0,0.0,0.0,-44400.566803278685,29692.876229508187,0.0,7207.690573770492
16,16,-0.008296022511798099,2133.1827751820674,3.559819330218481,0.0,299.03014606475574,67.39870686141968,0.008296022511798099,67.78707875317663,77.2711483150127,0.0,0.0,63.83887378604205,0.0,0.0,0.0,-0.0082960225117981,0.008296022511798102,73.7250866981423,6000.0,7500.0,1.0,0.0,0.0,63.838897010200135,0.0,0.0,0.0,63.83887378604205,3.5598193302184815,67.39870686141968,3.3412966386596375e-05,3.341296638659637e-05,0.008296022511798102,73.7250866981423,3.5598193302184815,77.2711483150127,0.0082960225117981,0.0,0.0,0.0,0.0,63.838897010200135,3.5598193302184815,67.39870686141968,1.4839759074900799e-05,1.4839759074900799e-05,0.6104897540983607,-39486.477295081975,25187.342049180334,25187.342049180334,0.0,0,115200000.0,0.0,0.0,0.0,-6799.13524590164,6799.13524590164,-6799.13524590164,0.0,0.0,-0.0082960225117981,7500.0,0.0,0.0,0.0,0.0,0.008296022511798102,0.0,0.0,-39486.477295081975,25187.342049180334,0.0,6799.13524590164
17,17,-0.019087601941001987,2064.4674081944604,3.4773608898333523,0.019087601941001984,367.7455130523628,67.4903273507365,0.0,67.78707875317663,77.2711483150127,-0.019087601941001987,0.019087601941001987,64.08583369227254,12000.0,15000.0,2.0,0.0,0.0,73.79378065348799,0.0,0.0,0.0,0.0,0.0,64.01297595601785,0.0,0.0,0.019087601941001987,64.08583369227254,3.4773608898333523,67.4903273507365,0.019087601941001987,0.0,0.0,73.79378065348799,3.477360889833353,77.2711483150127,1.200035939110229e-05,1.2000359391102289e-05,0.0,0.0,0.0,64.01297595601785,3.477360889833353,67.4903273507365,1.4836401314866355e-05,1.4836401314866358e-05,0.49282377049180326,-31875.84147540983,8483.53204918032,8483.53204918032,0.0,0,115200000.0,0.0,0.0,0.0,-8392.309426229509,8392.309426229509,-8392.309426229509,-0.019087601941001987,15000.0,0.0,0.0,0.0,0.0,0.0,0.019087601941001987,0.0,0.0,0.0,-31875.84147540983,8483.53204918032,0.0,8392.309426229509
18,18,0.0,2064.4674081944604,3.4773608898333523,0.00013464506013430468,368.2302352688463,67.49097364702513,-0.00013464506013430468,67.30235653669315,77.26920942614677,0.0,0.0,64.01359878836293,0.0,0.0,0.0,0.0,0.0,73.79184853631342,0.0,0.0,0.0,0.0,0.0,64.01362300719497,0.0,0.0,0.0,64.01359878836293,3.4773608898333523,67.49097364702513,1.3968828854364707e-07,1.396882885436471e-07,0.0,73.79184853631342,3.4773608898333523,77.26920942614677,0.0,0.0,-0.00013464506013430468,0.00013464506013430465,0.0,64.01362300719497,3.4773608898333523,67.49097364702513,1.0557887874723378e-07,1.0557887874723377e-07,0.3590081967213115,-23220.650163934428,14498.24237704918,14498.24237704918,0.0,0,115200000.0,0.0,0.0,0.0,-8722.407786885246,8722.407786885246,-8722.407786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013464506013430468,0.00013464506013430468,-23220.650163934428,14498.24237704918,0.0,8722.407786885246
19,19,0.007405109784475438,2091.1258034185716,3.5093509641022864,-0.007405109784475439,341.5718400447348,67.45542912005965,0.0,67.30235653669315,77.26920942614677,0.0,0.0,63.94606416988943,0.0,0.0,0.0,0.0,0.0,73.75984306754013,0.0,0.0,0.0,-0.007405109784475439,0.0074051097844754395,63.93512259359914,-4644.511164535972,-3715.608931628778,0.0,63.94606416988943,3.509350964102287,67.45542912005965,3.3347537090664164e-05,3.3347537090664164e-05,0.0,73.75984306754013,3.509350964102287,77.26920942614677,0.0,0.0,0.0,0.0,-0.007405109784475439,63.93512259359914,3.509350964102287,67.45542912005965,1.192092895508281e-07,0.0074052289937649885,0.19441803278688524,-12574.958360655737,18861.709568980532,18861.709568980532,0.0,0,70288713.2137304,-12475.357440630445,0.0,11227.8216965674,-9904.215163934427,9904.215163934427,-9904.215163934427,0.0,0.0,0.0,0.0,0.007405109784475439,-3715.608931628778,-0.007405109784475439,0.0,0.0,0.0,0.0,-12574.958360655737,18861.709568980532,-12475.357440630445,9904.215163934427
20,20,0.002390364557943153,2099.731115827167,3.519677338992601,0.003337339785353882,353.5862632720087,67.47144835102935,-0.005727704343297036,46.682620900823814,77.1867304836033,0.0,0.0,63.9517570173244,0.0,0.0,0.0,0.0,0.0,73.66703774740212,0.0,0.0,0.0,-0.0023903645579431533,0.002390364557943153,63.95064037637608,-1499.609026734019,-1199.687221387215,0.0,63.9517570173244,3.5196773389926004,67.47144835102935,3.335709766252072e-05,3.335709766252072e-05,0.0,73.66703774740212,3.5196773389926004,77.1867304836033,0.0,0.0,-0.005727704343297035,0.005727704343297035,-0.0023903645579431533,63.95064037637608,3.5196773389926004,67.47144835102935,0.0,0.0023903645579431525,0.07040163934426229,-4553.578032786884,0.0,0.0,0.0,0,52086349.27629815,-5056.212204842293,0.0,4550.590984358065,-10809.477459016394,10809.477459016394,-10809.477459016394,0.0,0.0,0.0,0.0,0.002390364557943153,-1199.687221387215,-0.0023903645579431533,0.0,0.0,-0.005727704343297035,0.005727704343297035,-4553.578032786884,0.0,-5056.212204842293,10809.477459016394
21,21,0.0034558996882355967,2112.1723547048155,3.5346068256457785,-0.0034558996882355967,341.14502439436063,67.45486003252581,0.0,46.682620900823814,77.1867304836033,0.0,0.0,63.920239197116636,0.0,0.0,0.0,0.0,0.0,73.6521222903512,0.0,0.0,0.0,-0.0034558996882355962,0.0034558996882355967,63.91786455834902,-2166.9674736408565,-1733.5739789126853,0.0,63.920239197116636,3.534606825645778,67.45486003252581,3.3374673220299714e-05,3.3374673220299714e-05,0.0,73.6521222903512,3.534606825645778,77.1867304836033,2.1709029090444322e-05,2.1709029090444322e-05,0.0,0.0,-0.0034558996882355962,63.91786455834902,3.534606825645778,67.45486003252581,0.0,0.0034558996882355967,0.006782786885245902,-438.71065573770494,0.0,0.0,0.0,0,19474627.23972808,-9058.81167682502,0.0,8152.930509142518,-11231.09631147541,11231.09631147541,-11231.09631147541,0.0,0.0,0.0,0.0,0.0034558996882355967,-1733.5739789126853,-0.0034558996882355962,0.0,0.0,0.0,0.0,-438.71065573770494,0.0,-9058.81167682502,11231.09631147541
22,22,0.06313342340626933,2339.452678967385,3.807343214760862,-0.06192538219456714,118.21364849391891,67.1576181979919,-0.0012080412117021857,42.33367253869594,77.16933469015478,0.0,0.0,63.35026095737801,0.0,0.0,0.0,0.0,0.0,73.3619900120977,0.0,0.0,0.0,-0.06313342340626935,0.06313342340626935,62.55310915303198,-38741.57278951748,-30993.25823161398,0.0,63.35026095737801,3.8073432147608623,67.1576181979919,3.33942086459688e-05,3.3394208645968794e-05,0.0,73.3619900120977,3.8073432147608623,77.16933469015478,2.1676593982397763e-05,2.1676593982397766e-05,-0.0012080412117021857,0.0012080412117021857,-0.06313342340626935,62.55310915303198,3.8073432147608623,67.1576181979919,0.0,0.06313342340626933,1.8442622950819673e-05,-1.1928688524590163,0.0,0.0,0.0,0,89938217.59484988,19573.21954308939,21748.021714543767,0.0,-11421.231557377048,11421.231557377048,-11421.231557377048,0.0,0.0,0.0,0.0,0.06313342340626933,-30993.25823161398,-0.06313342340626935,0.0,0.0,-0.0012080412117021857,0.0012080412117021855,-1.1928688524590163,0.0,19573.21954308939,11421.231557377048
23,23,0.044571699118752174,2499.9107957948927,3.9998929549538715,-0.03281234563578107,0.0892042051070248,67.00011893894013,-0.011759353482971094,0.0,77.0,0.0,0.0,63.000226208815214,0.0,0.0,0.0,-0.008376747042765217,0.008376747042765219,73.0141410232496,6000.0,7500.0,1.0,-0.052948446161517386,0.052948446161517386,62.439530726981815,-32432.64730597767,-25946.11784478214,0.0,63.000226208815214,3.9998929549538715,67.00011893894013,0.0,0.0,0.008376747042765219,73.0141410232496,3.9998929549538715,77.0,0.008376747042765219,0.0,-0.020136100525736313,0.020136100525736313,-0.052948446161517386,62.439530726981815,3.9998929549538715,67.00011893894013,0.0,0.052948446161517386,1.639344262295082e-05,-1.060327868852459,0.0,0.0,0.0,0,115200000.0,7017.16177920837,7796.846421342632,0.0,-11430.016393442624,11430.016393442624,-11430.016393442624,0.0,0.0,-0.008376747042765217,7500.0,0.05294844616151739,-25946.11784478214,-0.052948446161517386,0.0,0.008376747042765219,-0.020136100525736313,0.02013610052573631,-1.060327868852459,0.0,7017.16177920837,11430.016393442624
