,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
10,10,-0.08192623083334313,198870.05138608313,29.831450085643468,0.03567496991112091,9371.738423886887,139.32541773410165,0.04625126092222222,0.0,0.04625126092222222,0.0,0.0,109.49410188586127,2752.540670962509,0.0,0.0,0.0,-0.08192623083334315,0.08192623083334315,109.49410188586127,2752.540696271568,88000.0,110000.0,1.0,0.08192623083334315,0.0,29.831450085643468,0.0,109.49396764845818,1.0,0.8271725442451721,-110000.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.08192623083334313,0.0,0.0,0.0,-0.04625126092222222,0.0,0.0,0.0
11,11,-0.08188949142410218,198575.24921695635,29.830958748694925,0.029264609751879944,9477.091018993655,139.3740420087663,0.05262488167222223,0.0,0.05262488167222223,0.0,0.0,109.54321737614087,2753.157951824739,0.0,0.0,0.0,-0.08188949142410216,0.08188949142410216,109.5432173761409,2753.157977105359,88000.0,110000.0,1.0,0.08188949142410216,0.0,29.830958748694922,0.0,109.54308326007137,1.0,0.9073690875066988,-110000.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.08188949142410218,0.0,0.0,0.0,-0.05262488167222223,0.0,0.0,0.0
12,12,-0.0818575067270333,198280.56219273902,29.83046760365456,0.025402707549255523,9568.540766170974,139.4162495843866,0.05645479917777778,0.0,0.05645479917777778,0.0,0.0,109.58591599183583,2753.6944733132505,0.0,0.0,0.0,-0.0818575067270333,0.0818575067270333,109.58591599183583,2753.694498569162,87999.91749399784,109999.8968674973,1.0,0.0818575067270333,0.0,29.83046760365456,0.0,109.58578198073205,1.0,0.9075888237412905,-109999.8968674973,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.0818575067270333,0.0,0.0,0.0,-0.05645479917777778,0.0,0.0,0.0
13,13,-0.12164350422911364,197842.64557751422,29.82973774262919,0.06850467505133588,9815.157596355783,139.5300727367796,0.05313882917777778,0.0,0.05313882917777778,-0.0398717420076342,0.03987174200763421,109.70063093698481,2755.1353911300375,42908.50104745449,53635.62630931812,1.0,-0.08177176222147944,0.08177176222147943,109.70063093698482,2755.1354103309604,87999.74709583184,109999.6838697898,1.0,0.12164350422911364,0.0,29.829737742629195,0.0,109.70033499415041,1.0,0.8371170424435377,-109999.6838697898,-53635.62630931812,0.0,53635.626309318126,0.0,0.0,2.0463630789890885e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.08177176222147944,0.0,0.0,0.0,-0.05313882917777778,0.0,0.0,0.0
14,14,-0.08173410450264043,197548.40280130474,29.829247338002176,0.03022692959152931,9923.974542885288,139.58029594287015,0.051507174911111106,0.0,0.051507174911111106,0.0,0.0,109.75118221272437,2755.770110603045,0.0,0.0,0.0,-0.08173410450264042,0.08173410450264043,109.75118221272437,2755.770135763995,87999.75391572795,109999.69239465994,1.0,0.08173410450264043,0.0,29.829247338002176,0.0,109.75104860486798,1.0,0.7025998704330214,-109999.69239465994,0.0,0.0,0.0,0.0,0.0,1.0231815394945445e-10,2.2737367544323207e-14,2.8421709430404014e-14,0.0,0.0,0.0,0.0,-0.08173410450264043,0.0,0.0,0.0,-0.051507174911111106,0.0,0.0,2.2737367544323204e-14
15,15,-0.08126468794849206,197255.84992469012,29.828759749874482,0.029009441704047637,10028.40853301986,139.62849624600918,0.05225524624444444,0.0,0.05225524624444444,0.0,0.0,109.79986857512478,2756.38121670495,0.0,0.0,0.0,-0.08126468794849208,0.08126468794849208,109.79986857512478,2756.3812415700468,87533.17078838915,109416.46348548646,1.0,0.08126468794849208,0.0,29.828759749874482,0.0,109.79973649613468,1.0,0.5186243614651183,-109416.46348548644,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,-2.2737367544323207e-14,0.0,2.8421709430404014e-14,0.0,0.0,0.0,-0.08126468794849208,0.0,0.0,0.0,-0.05225524624444444,0.0,0.0,-2.2737367544323204e-14
16,16,-0.05052615217766164,197073.95577685055,29.82845659296142,-0.004812929561227249,10011.08198659944,139.6204993784305,0.055339081738888886,0.0,0.055339081738888886,0.0,0.0,109.79209384214447,2756.283705409086,0.0,0.0,0.0,-0.05052615217766165,0.05052615217766164,109.79209384214448,2756.28371501677,54419.71195250589,68024.63994063238,1.0,0.05052615217766164,0.0,29.82845659296142,0.0,109.79204278546908,1.0,0.32243077805000214,-68024.63994063236,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.05052615217766165,0.0,0.0,0.0,-0.055339081738888886,0.0,0.0,0.0
17,17,0.0,197073.9557768506,29.82845659296142,-0.060539685772222226,9793.139117819443,139.5199103620705,0.060539685772222226,0.0,0.060539685772222226,0.0,0.0,109.69145376910909,2755.0201531010907,0.0,0.0,0.0,0.0,0.0,109.69145376910909,2755.0201531010907,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.69145376910909,1.0,0.11917990763987955,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060539685772222226,0.0,0.0,0.0
18,18,0.0,197073.9557768506,29.82845659296142,-0.006790106403888885,9768.69473476544,139.50862833912254,0.006790106403888889,0.0,0.006790106403888889,0.0,0.0,109.68017174616111,2754.8784693213047,0.0,0.0,0.0,0.0,0.0,109.68017174616108,2754.8784693213047,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.68017174616111,1.0,0.006622110122458065,-2.2737367544323207e-14,0.0,0.0,0.0,0.0,0.0,1.0231815394945445e-10,2.2737367544323207e-14,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,0.0,0.0,2.2737367544323204e-14
19,19,0.0,197073.9557768506,29.82845659296142,-0.022238088677777768,9688.63761552544,139.4716788994733,0.022238088677777778,0.0,0.022238088677777778,0.0,0.0,109.64322230651186,2754.414393693213,0.0,0.0,0.0,0.0,0.0,109.64322230651186,2754.414393693213,1.8189894035458578e-14,2.273736754432322e-14,0.0,0.0,0.0,29.82845659296142,0.0,109.64322230651186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,-2.273736754432322e-14,2.847722079780487e-14,5.689893022820888e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022238088677777778,0.0,0.0,-2.273736754432322e-14
