,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
10,10,-0.13018910273107975,199261.24387955526,29.83210207313259,0.08393784180885752,8980.545930415095,139.14486735249926,0.04625126092222222,-0.046251260922222405,0.04625126092222222,-0.06986695001496339,0.06986695001496339,109.31310426341604,2750.264544842155,74922.62947824513,93653.28684780642,1.0,-0.060322152716116365,0.060322152716116365,109.31310426341605,2750.2645401528303,64687.15549663375,80858.94437079217,1.0,0.13018910273107975,109.32235952541009,29.832102073132592,139.1540884031609,109.31276527936667,1.0,0.8271725442451721,-174512.2312185986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06319481504349117,0.06319481504349117,84536.52440098878,-0.060322152716116365,0.06736376398054164,89975.70681761004,0.13055857902403267,-0.04625126092222222,0.0,-174512.23121859872,0.0
11,11,-0.1426150003047186,198747.82987845832,29.831246383130757,0.08999011863248073,9304.510357492023,139.2943893957655,0.05262488167222223,-0.05262488167222229,0.05262488167222223,-0.07126905855184307,0.07126905855184305,109.46354979261751,2752.1566431925444,76531.37840077635,95664.22300097042,1.0,-0.07134594175285972,0.0713459417528597,109.46354979261751,2752.156643233897,76613.9406514423,95767.42581430286,1.0,0.14261500030470275,109.47329374336223,29.83124638313076,139.30410407889758,109.46314301263473,1.0,0.9073690875066988,-191431.64881527328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060964497820615776,0.060964497820615776,81431.64881527342,-0.07134594175287552,0.08194759610072434,110000.00000000025,0.14291209392133997,-0.05262488167222223,0.0,-191431.64881527386,0.0
12,12,-0.14246243921857357,198234.96509727143,29.830391608495447,0.086007640040798,9614.1378616389,139.43729439767947,0.05645479917777778,-0.05645479917777802,0.05645479917777778,-0.06945021317814712,0.06945021317815193,109.60730869964021,2753.9632582671743,74676.17946823683,93345.22433529604,1.0,-0.07301222604042647,0.07301222604042647,109.60730869964023,2753.9632601796907,78506.22656018277,98132.78320022846,1.0,0.1424624392185784,109.61747147928573,29.83039160849545,139.4474265132631,109.60690278918402,1.0,0.9075888237412905,-191478.0075355245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060873454882771,0.060873454882771,81478.00753552494,-0.07301222604042645,0.08184021682965176,110000.00000000025,0.14271367171242236,-0.05645479917777778,0.0,-191478.0075355243,0.0
13,13,-0.13124437128939953,197762.4853606296,29.829604142267712,0.07810554211161666,9895.317813240717,139.56706975995723,0.05313882917777778,-0.05313882917777791,0.05313882917777778,-0.05572013190192121,0.05572013190192121,109.73781011755219,2755.6020032120564,59984.26982251594,74980.33727814494,1.0,-0.07552423938747294,0.07552423938747296,109.73781011755217,2755.6020135991826,81303.942784924,101629.92848115499,1.0,0.13124437128939423,109.74851107460896,29.829604142267716,139.57773182634588,109.73746561768951,1.0,0.8371170424435377,-176610.26575929992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08174244800124043,0.08174244800124043,110000.00000000025,-0.07552423938747833,0.049820875161402434,66610.26575929997,0.1315633231626426,-0.05313882917777778,0.0,-176610.26575930044,0.0
14,14,-0.11005645952212695,197366.28210634994,29.82894380351058,0.058549284611030025,10106.095237840427,139.664351648234,0.051507174911111106,-0.051507174911111474,0.051507174911111106,-0.07519735753033872,0.07519735753033874,109.83565009281178,2756.830240408363,81024.21845581927,101280.27306977409,1.0,-0.034859101991790334,0.03485910199179033,109.83565009281176,2756.8302236929253,37560.25042792827,46950.313034910345,1.0,0.11005645952212904,109.84648264650541,29.82894380351058,139.67574590501738,109.83540784472342,1.0,0.7025998704330214,-148230.58610468442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04097478767182889,0.04097478767182889,54728.490497579915,-0.03485910199178824,0.06952234199561126,93502.09560710465,0.1104971296674409,-0.051507174911111106,0.0,-148230.58610468492,0.0
15,15,-0.08120237062315347,197073.95357210658,29.828456589286837,0.02894712437870949,10210.304885603779,139.7124484087402,0.05225524624444444,-0.05225524624444459,0.05225524624444444,-0.04682532147301703,0.04682532147301704,109.88412369527228,2757.4386439315012,50475.97587892473,63094.96984865591,1.0,-0.03437704915013644,0.03437704915013643,109.8841236952723,2757.4386400249114,37057.19490946444,46321.49363683054,1.0,0.08120237062315346,109.88374690972839,29.828456589286837,139.7124484087379,109.88399181945336,1.0,0.5186243614651183,-109416.46348548644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037172358037989454,0.037172358037989454,49649.72753363255,-0.034377049150136445,0.03717235803798848,49649.7275336313,0.07434471607597938,-0.05225524624444444,10117.008418223233,-109416.46348548688,0.0
16,16,0.0,197073.95357210658,29.82845658928684,-0.055339081738888796,10011.08419134378,139.6205003960048,0.055339081738888886,-0.055339081738889254,0.055339081738888886,0.0,0.0,109.79204380671796,2756.283064896743,0.0,0.0,0.0,0.0,0.0,109.79204380671794,2756.283064896743,0.0,0.0,0.0,8.326672684688674e-17,109.7920438067159,29.828456589286844,139.62050039600246,109.79204380671796,1.0,0.32243077805000214,-68024.63994063236,68024.63994063236,68024.63994063235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.9388939039072176e-18,-0.055339081738888886,68024.63994063243,-68024.63994063243,0.0
17,17,0.0,197073.95357210658,29.82845658928684,-0.060539685772222226,9793.141322563779,139.5199113796448,0.060539685772222226,-0.060539685772222386,0.060539685772222226,0.0,0.0,109.691454790358,2755.0201531010644,0.0,0.0,0.0,0.0,0.0,109.691454790358,2755.0201531010644,0.0,0.0,0.0,0.0,109.69145479035565,29.828456589286844,139.51991137964234,109.69145479035797,1.0,0.11917990763987955,-25143.909506379005,25143.909506379,25143.909506379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9388939039072176e-18,-0.060539685772222226,25143.90950637913,-25143.90950637913,0.0
18,18,0.0,197073.95357210658,29.82845658928684,-0.006790106403888885,9768.69693950978,139.50862935669682,0.006790106403888889,-0.006790106403888931,0.006790106403888889,0.0,0.0,109.68017276741001,2754.8784693212783,0.0,0.0,0.0,0.0,0.0,109.68017276741001,2754.8784693212783,0.0,0.0,0.0,0.0,109.68017276740785,29.828456589286844,139.50862935669457,109.68017276740999,1.0,0.006622110122458065,-1397.0957098195165,1397.0957098195165,1397.0957098195165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7347234759768044e-18,-0.006790106403888889,1397.0957098195195,-1397.0957098195195,0.0
19,19,0.0,197073.95357210658,29.82845658928684,-0.022238088677777768,9688.63982026978,139.4716799170476,0.022238088677777778,-0.022238088677777823,0.022238088677777778,0.0,0.0,109.64322332776072,2754.414393693186,0.0,0.0,0.0,0.0,0.0,109.64322332776072,2754.414393693186,0.0,0.0,0.0,0.0,109.64322332775875,29.828456589286844,139.47167991704538,109.64322332776074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4694469519536088e-18,-0.022238088677777778,0.0,0.0,0.0
