Time_hour,Power,SOC,SOH
15205,-2.7414147662957853,0.35687300266491767,0.9926415525114155
15206,9.99199999999999e-09,0.3568734130750983,0.9926404109589041
15207,9.995555555555556e-09,0.35687382348622315,0.9926392694063927
15208,9.992000000000008e-09,0.3568742338982917,0.9926381278538813
15209,-1.3546096577447928,0.3568120975018515,0.9926369863013699
15210,-9.989000000000029e-09,0.35681250784303914,0.9926358447488585
15211,9.992000000000021e-09,0.35681291818600924,0.9926347031963471
15212,9.995555555555564e-09,0.3568133285299234,0.9926335616438356
15213,9.992000000000026e-09,0.3568137388747812,0.9926324200913242
15214,-1.2137373378361274,0.3567581066299,0.9926312785388128
15215,-1.3733892906762843,0.3566951025473993,0.9926301369863013
15216,9.992000000000004e-09,0.3566955127577094,0.9926289954337899
15217,9.995555555555552e-09,0.35669592296896324,0.9926278538812785
15218,9.991999999999971e-09,0.3566963331811604,0.9926267123287671
15219,-3.08641126241239,0.3565542319369937,0.9926255707762557
15220,-4.194779330008146,0.35636095269837664,0.9926244292237443
15221,2.0000000299935903,0.3564369198923785,0.9926232876712329
15222,4.0000000499969675,0.35658844471370554,0.9926221461187215
15223,6.000000069993343,0.35681552742304024,0.99262100456621
15224,3.200000032032504,0.3569368299773706,0.9926198630136986
15225,4.200000042032442,0.35709591166734556,0.9926187214611872
15226,10.000000109993094,0.3574741113440973,0.9926175799086758
15227,9.500000104996625,0.3578334224189749,0.9926164383561644
15228,9.000000099993155,0.3581738448268099,0.992615296803653
15229,3.200000032032504,0.3582951496407865,0.9926141552511416
15230,1.2000000120326277,0.3583408965860234,0.9926130136986301
15231,4.000000049993466,0.3584924251653664,0.9926118721461187
15232,2.000000029997091,0.3585683957716967,0.9926107305936073
15233,1.0000000199936523,0.3586065873485473,0.9926095890410959
15234,-4.129073193432365,0.3584163413152199,0.9926084474885845
15235,-3.5229254662422944,0.35825408352690313,0.992607305936073
15236,9.991999999999917e-09,0.35825449553956373,0.9926061643835616
15237,9.995555555555527e-09,0.35825490755317224,0.9926050228310502
15238,9.991999999999903e-09,0.35825531956772816,0.9926038812785388
15239,-3.7967624485147304,0.35808041645222966,0.9926027397260274
15240,-4.316470131502127,0.35788151545597385,0.992601598173516
15241,9.991999999999872e-09,0.3578819270425271,0.9926004566210046
15242,9.995555555555516e-09,0.3578823386300272,0.9925993150684932
15243,9.99199999999987e-09,0.3578827502184739,0.9925981735159818
15244,-9.989000000000388e-09,0.35788316180702856,0.9925970319634703
15245,-9.989000000000027e-09,0.35788357339652993,0.9925958904109589
15246,6.000000069993343,0.3581106636020504,0.9925947488584475
15247,8.00000008999672,0.358413313954915,0.992593607305936
