,t,B4s.Q,B4s.W,B4s.z,B5s.Q,B5s.W,B5s.z,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump1s.npu2,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Pump2s.npu2,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.Qp,Pipe1s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,EBpvs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1c1_Qs_expanded.Q,t1ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
10,10,0.0,229999.999999999,429.45974142330857,-0.10125641716964613,157229.88412299758,448.7526076489386,-0.10125641716964613,0.10125641716964613,0.0,0.0,19.29286626348134,0.0,0.0,0.0,0.5098537596057435,0.0,0.0,19.29286626348134,0.0,0.0,0.0,0.5098537596057435,0.0,0.0,19.29286626348134,0.0,0.0,0.0,19.29286626348134,429.45974142330857,448.7526076489386,0.00023747232796394855,0.00023747232796394858,0.8271725442451721,-191308.46603302337,191308.46603302337,191308.46603302337,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10125641716964613,191308.46603302337,-191308.46603302337,0.0
11,11,0.0,229999.999999999,429.45974142330857,-0.08821410997977316,156912.31332707038,448.7331940423708,-0.08821410997977316,0.08821410997977316,0.0,0.0,19.273452656913584,0.0,0.0,0.0,0.5093407150347141,0.0,0.0,19.273452656913584,0.0,0.0,0.0,0.5093407150347141,0.0,0.0,19.273452656913584,0.0,0.0,0.0,19.273452656913584,429.45974142330857,448.7331940423708,0.00023747232796395205,0.00023747232796395202,0.9073690875066988,-209856.3225585493,209856.3225585493,209856.3225585493,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08821410997977316,209856.3225585493,-209856.3225585493,0.0
12,12,0.0,229999.999999999,429.45974142330857,-0.07708095904898483,156634.82187449402,448.7162305496463,-0.07708095904898483,0.07708095904898483,0.0,0.0,19.25648916418908,0.0,0.0,0.0,0.5088924197724386,0.0,0.0,19.25648916418908,0.0,0.0,0.0,0.5088924197724386,0.0,0.0,19.25648916418908,0.0,0.0,0.0,19.25648916418908,429.45974142330857,448.7162305496463,0.00023747232796397048,0.00023747232796397048,0.9075888237412905,-209907.14315488565,209907.14315488565,209907.14315488568,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07708095904898483,209907.14315488565,-209907.14315488565,0.0
13,13,-0.36092346932268216,228700.67551043737,429.4077600443504,0.2974658942441312,157705.6990937729,448.78169497296267,-0.06345757507855203,0.06345757507855203,-0.36092346932268227,0.36092346932268227,20.169103114875927,71411.90863588754,82940.66043657089,1.0,0.6668561163782596,0.0,0.0,20.169103114875927,0.0,0.0,0.0,0.5330101246003152,0.0,0.0,20.169103114875927,0.0,0.0,0.3609234693226832,20.169103114875927,429.40776004435037,448.78169497296267,0.3609234693226832,0.0,0.8371170424435377,-193608.4295763414,110667.76913977049,110667.76913977046,0.0,0,0,0.0,0.0,0.0,0.0,-0.36092346932268227,0.36092346932268227,82940.66043657089,0.0,0.0,0.0,0.0,0.0,0.0,0.3609234693226832,-0.06345757507855203,110667.76913977049,-193608.4295763414,0.0
14,14,-0.3297301401293027,227513.64700597187,429.3602712307242,0.2716076050411815,158683.48647192118,448.8414686666074,-0.058122535088121194,0.058122535088121194,-0.3297301401293027,0.32973014012930274,20.144858047180016,65161.61466551576,75681.31784612747,1.0,0.6440794925710419,0.0,0.0,20.144858047180016,0.0,0.0,0.0,0.5323693987098312,0.0,0.0,20.144858047180016,0.0,0.0,0.32973014012930263,20.144858047180016,429.36027123072415,448.8414686666074,0.32973014012930274,0.0,0.7025998704330214,-162497.2980337492,86815.98018762172,86815.98018762174,0.0,0,0,0.0,0.0,0.0,0.0,-0.3297301401293027,0.32973014012930274,75681.31784612747,0.0,0.0,0.0,0.0,0.0,0.0,0.32973014012930263,-0.058122535088121194,86815.98018762172,-162497.2980337492,0.0
15,15,0.0,227513.64700597187,429.3602712307242,-0.05762696821034789,158476.02938636392,448.8287864858453,-0.05762696821034789,0.05762696821034789,0.0,0.0,19.46851551145838,0.0,0.0,0.0,0.5144956530512256,0.0,0.0,19.46851551145838,0.0,0.0,0.0,0.5144956530512256,0.0,0.0,19.46851551145838,0.0,0.0,0.0,19.46851551145838,429.36027123072415,448.8287864858453,5.418761014052202e-06,5.418761014052202e-06,0.5186243614651183,-119947.44231965253,119947.44231965252,119947.44231965252,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05762696821034789,119947.44231965252,-119947.44231965253,0.0
16,16,0.0,227513.64700597187,429.3602712307242,-0.06077244674991242,158257.24857806426,448.8154120679475,-0.06077244674991242,0.06077244674991242,0.0,0.0,19.455141093560492,0.0,0.0,0.0,0.5141422064894421,0.0,0.0,19.455141093560492,0.0,0.0,0.0,0.5141422064894421,0.0,0.0,19.455141093560492,0.0,0.0,0.0,19.455141093560492,429.36027123072415,448.8154120679475,5.418761014050747e-06,5.418761014050748e-06,0.32243077805000214,-74571.79034740449,74571.79034740449,74571.79034740449,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06077244674991242,74571.79034740449,-74571.79034740449,0.0
17,17,0.0,227513.64700597187,429.3602712307242,-0.06391571284540959,158027.1520118208,448.8013458998145,-0.06391571284540959,0.06391571284540959,0.0,0.0,19.441074707238695,0.0,0.0,0.0,0.5137704732356948,0.0,0.0,19.441074707238695,0.0,0.0,0.0,0.5137704732356948,0.0,0.0,19.441074707238695,0.0,0.0,0.0,19.441074707238695,429.36027123072415,448.8013458998145,0.00023840236408933136,0.0002384023640893314,0.11917990763987955,-27563.92903895134,27563.92903895134,27563.929038951344,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06391571284540959,27563.92903895134,-27563.92903895134,0.0
18,18,0.0,227513.64700597187,429.3602712307242,-0.06984968131410595,157775.69315909,448.785973821218,-0.06984968131410595,0.06984968131410595,0.0,0.0,19.42570259049388,0.0,0.0,0.0,0.5133642333640032,0.0,0.0,19.42570259049388,0.0,0.0,0.0,0.5133642333640032,0.0,0.0,19.42570259049388,0.0,0.0,0.0,19.42570259049388,429.36027123072415,448.785973821218,0.0,0.0,0.006622110122458065,-1531.5616291221013,1531.5616291221015,1531.5616291221013,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06984968131410595,1531.5616291221015,-1531.5616291221013,0.0
19,19,0.0,227513.64700597187,429.3602712307242,-0.07155334888101877,157518.10110311836,448.7702268101775,-0.07155334888101877,0.07155334888101877,0.0,0.0,19.409955579453307,0.0,0.0,0.0,0.5129480861377723,0.0,0.0,19.409955579453307,0.0,0.0,0.0,0.5129480861377723,0.0,0.0,19.409955579453307,0.0,0.0,0.0,19.409955579453307,429.36027123072415,448.7702268101775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07155334888101877,0.0,0.0,0.0
20,20,0.0,227513.64700597187,429.3602712307242,-0.06349772492865823,157289.5092933752,448.7562526301966,-0.06349772492865823,0.06349772492865823,0.0,0.0,19.395980893997873,0.0,0.0,0.0,0.5125787762684427,0.0,0.0,19.395980893997873,0.0,0.0,0.0,0.5125787762684427,0.0,0.0,19.395980893997873,0.0,0.0,0.0,19.395980893997873,429.36027123072415,448.7562526301966,0.00028776359663668826,0.0002877635966366882,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06349772492865823,0.0,0.0,0.0
21,21,0.0,227513.64700597187,429.3602712307242,-0.052829104412238696,157099.32451749113,448.7446263331267,-0.05282910441223869,0.05282910441223869,0.0,0.0,19.384355102402466,0.0,0.0,0.0,0.5122715407611647,0.0,0.0,19.384355102402466,0.0,0.0,0.0,0.5122715407611647,0.0,0.0,19.384355102402466,0.0,0.0,0.0,19.384355102402466,429.36027123072415,448.7446263331267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05282910441223869,0.0,0.0,0.0
22,22,0.0,227513.64700597187,429.3602712307242,-0.041419941659343665,156950.21272751747,448.73551089284604,-0.041419941659343665,0.041419941659343665,0.0,0.0,19.375239160594752,0.0,0.0,0.0,0.5120306332081065,0.0,0.0,19.375239160594752,0.0,0.0,0.0,0.5120306332081065,0.0,0.0,19.375239160594752,0.0,0.0,0.0,19.375239160594752,429.36027123072415,448.73551089284604,0.0002866377439650754,0.0002866377439650753,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041419941659343665,0.0,0.0,0.0
23,23,0.0,227513.64700597187,429.3602712307242,-0.04172575764363452,156800.00000000038,448.7263281505067,-0.04172575764363452,0.04172575764363452,0.0,0.0,19.366056418255468,0.0,0.0,0.0,0.5117879603133052,0.0,0.0,19.366056418255468,0.0,0.0,0.0,0.5117879603133052,0.0,0.0,19.366056418255468,0.0,0.0,0.0,19.366056418255468,429.36027123072415,448.7263281505067,0.000286637743965064,0.0002866377439650641,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04172575764363452,0.0,0.0,0.0
