,t,B4w.Q,B4w.W,B4w.z,B5w.Q,B5w.W,B5w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump1w.npu2,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pump2w.npu2,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P
10,10,0.0,23000980.32472731,429.4677206942793,-0.02485407567222222,122194.54571697714,448.308752260802,-0.024854075672222222,0.024854075672222222,0.0,0.0,18.841031566522638,0.0,0.0,0.0,0.49791309636687736,0.0,0.0,18.841031566522638,0.0,0.0,0.0,0.49791309636687736,0.0,0.0,18.841031566522638,0.0,0.0,0.0,18.841031566522638,429.46772069427936,448.308752260802,0.0,0.0,0.5137134929205837,-118811.65664267256,118811.65664267258,118811.65664267258,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024854075672222222,118811.65664267258,-118811.65664267256,0.0
11,11,0.0,23000980.32472731,429.4677206942793,-0.024533672480555557,122106.22449604714,448.30571020899777,-0.024533672480555553,0.024533672480555553,0.0,0.0,18.8379895147184,0.0,0.0,0.0,0.49783270387733614,0.0,0.0,18.8379895147184,0.0,0.0,0.0,0.49783270387733614,0.0,0.0,18.8379895147184,0.0,0.0,0.0,18.8379895147184,429.46772069427936,448.30571020899777,0.0,0.0,0.6112149495870927,-141361.79354050275,141361.79354050275,141361.79354050275,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024533672480555553,141361.79354050275,-141361.79354050275,0.0
12,12,-0.5833727600000002,22998880.18279131,429.46687357689456,0.5597939289694447,124121.48264033714,448.37512183634266,-0.023578831030555556,0.023578831030555556,-0.5833727600000003,0.5833727600000003,20.98565255833899,120098.51350345455,139487.23984141063,1.0,0.904266411532148,0.0,0.0,20.98565255833899,0.0,0.0,0.0,0.5545891268059987,0.0,0.0,20.98565255833899,0.0,0.0,0.5833727600000003,20.98565255833899,429.46687357689456,448.37512183634266,0.5833727600000002,0.0,0.6484390389437005,-149970.98092689904,10483.74108548838,10483.741085488378,0.0,0,0.0,0.0,0.0,0.0,-0.5833727600000003,0.5833727600000003,139487.23984141063,0.0,0.0,0.0,0.0,0.0,0.0,0.5833727600000003,-0.023578831030555556,10483.74108548838,-149970.98092689904,0.0
13,13,-1.0017459248164657,22995273.897461973,429.4654189385462,0.9779450391359104,127642.08478122641,448.49638209499744,-0.023800885680555557,0.023800885680555557,-0.44534554770568235,0.4453455477056823,25.15649670846298,109904.70462691893,127647.7405655272,1.0,0.868595940994166,-0.5564003771107837,0.5564003771107837,25.15649670846298,137311.39535813814,159664.41320713743,1.0,0.9829022349385006,0.0,0.0,25.15649670846298,0.0,0.0,1.001745924816466,25.15649670846298,429.4654189385462,448.49638209499744,1.001745924816466,0.0,0.6048769083203855,-139895.93135633875,-147416.2224163259,0.0,147416.22241632588,0,0.0,0.0,0.0,0.0,-0.44534554770568235,0.4453455477056823,127647.7405655272,-0.5564003771107837,0.5564003771107837,159664.41320713743,0.0,0.0,0.0,1.001745924816466,-0.023800885680555557,-147416.2224163259,-139895.93135633875,0.0
14,14,-0.05199699489747296,22995086.708280344,429.4653434335495,0.029955769033584066,127749.92554974732,448.50009645946153,-0.02204122586388889,0.02204122586388889,-0.58337276,0.58337276,19.051256873231882,109028.18601837737,126629.71662993886,1.0,0.8531460181625098,0.0,0.0,19.051256873231882,0.0,0.0,0.0,0.5034687334363606,-0.531375765102527,0.531375765102527,19.051256873231882,-99310.3204943198,-49655.16024715991,0.051996994897472955,19.051256873231882,429.4653434335494,448.50009645946153,0.05199699489747295,0.0,0.49767636182026426,-115102.58896179071,38128.03257901175,38128.03257901175,0.0,0,0.0,0.0,0.0,0.0,-0.58337276,0.58337276,126629.71662993886,0.0,0.0,0.0,0.531375765102527,-0.531375765102527,-49655.16024715991,0.051996994897472955,-0.02204122586388889,38128.03257901175,-115102.58896179071,0.0
15,15,-0.5833727599999999,22992986.56634434,429.46449631616457,0.5634424772888887,129778.31846798732,448.56996048841916,-0.01993028271111111,0.01993028271111111,-0.5833727599999999,0.5833727599999999,21.182868570343192,121227.15841048995,140798.09339197437,1.0,0.9094782511728505,0.0,0.0,21.182868570343192,0.0,0.0,0.0,0.5598009664467016,0.0,0.0,21.182868570343192,0.0,0.0,0.5833727599999998,21.182868570343192,429.4644963161647,448.56996048841916,0.5833727599999999,0.0,0.32599011824461455,-75394.99454761443,-65403.098844359956,0.0,65403.09884435996,0,0.0,0.0,0.0,0.0,-0.5833727599999999,0.5833727599999999,140798.09339197437,0.0,0.0,0.0,0.0,0.0,0.0,0.5833727599999998,-0.01993028271111111,-65403.098844359956,-75394.99454761443,0.0
16,16,0.0,22992986.56634434,429.46449631616457,-0.02001212512222222,129706.27481754731,448.56747908571106,-0.02001212512222222,0.02001212512222222,0.0,0.0,19.10298276954636,0.0,0.0,0.0,0.5048356968696184,0.0,0.0,19.10298276954636,0.0,0.0,0.0,0.5048356968696184,0.0,0.0,19.10298276954636,0.0,0.0,0.0,19.10298276954636,429.4644963161646,448.56747908571106,0.0,0.0,0.11821470325038548,-27340.69656774915,27340.696567749153,27340.696567749153,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02001212512222222,27340.696567749153,-27340.69656774915,0.0
17,17,0.2633884724443938,22993934.76484514,429.4648787833781,-0.28290017519994937,128687.83418682749,448.5324008890379,-0.019511702755555554,0.019511702755555554,0.0,0.0,18.64405246377204,0.0,0.0,0.0,0.49270751754154435,0.0,0.0,18.64405246377204,0.0,0.0,0.0,0.49270751754154435,-0.2633884724443938,0.2633884724443938,18.64405246377204,-48173.26557132539,-24086.632785662692,-0.2633884724443938,18.64405246377204,429.46487878337814,448.5324008890379,0.0,0.2633884724443938,0.0,0.0,24086.632785662692,24086.632785662696,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2633884724443938,-0.2633884724443938,-24086.632785662692,-0.2633884724443938,-0.019511702755555554,24086.632785662692,0.0,0.0
18,18,0.7055436036001042,22996474.7218181,429.46590330542193,-0.724100495813993,126081.07240189715,448.44261607506513,-0.01855689221388889,0.01855689221388889,0.0,0.0,15.938092207037863,0.0,0.0,0.0,0.42119693993229024,0.0,0.0,15.938092207037863,0.0,0.0,0.0,0.42119693993229024,-0.7055436036001043,0.7055436036001042,15.938092207037863,-110313.63649069214,-55156.81824534607,-0.7055436036001043,15.938092207037863,429.46590330542193,448.44261607506513,0.0,0.7055436036001043,0.0,0.0,55156.81824534607,55156.81824534607,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7055436036001042,-0.7055436036001043,-55156.81824534607,-0.7055436036001043,-0.01855689221388889,55156.81824534607,0.0,0.0
19,19,0.8404431631382405,22999500.3172054,429.46712371553235,-0.8581692440243518,122991.66312340945,448.33620741165805,-0.01772608088611111,0.01772608088611111,0.0,0.0,14.557414314500708,0.0,0.0,0.0,0.3847096806157692,0.0,0.0,14.557414314500708,0.0,0.0,0.0,0.3847096806157692,-0.8404431631382406,0.8404431631382406,14.557414314500708,-120022.20426254615,-60011.10213127308,-0.8404431631382407,14.557414314500708,429.46712371553235,448.33620741165805,0.0,0.8404431631382407,0.0,0.0,60011.10213127307,60011.10213127307,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8404431631382406,-0.8404431631382406,-60011.10213127308,-0.8404431631382407,-0.01772608088611111,60011.10213127307,0.0,0.0
20,20,0.34290490216840075,23000734.774853207,429.4676216487988,-0.35982931060173406,121696.27760524319,448.29159038970994,-0.016924408433333333,0.016924408433333333,0.0,0.0,18.106213880289125,0.0,0.0,0.0,0.47849402432053717,0.0,0.0,18.106213880289125,0.0,0.0,0.0,0.47849402432053717,-0.3429049021684007,0.34290490216840075,18.106213880289125,-60907.44018774729,-30453.720093873642,-0.3429049021684007,18.106213880289125,429.46762164879885,448.29159038970994,0.0,0.3429049021684007,0.0,0.0,30453.720093873642,30453.720093873646,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34290490216840075,-0.3429049021684007,-30453.720093873642,-0.3429049021684007,-0.016924408433333333,30453.720093873642,0.0,0.0
21,21,0.0,23000734.774853207,429.4676216487988,-0.015675973983333334,121639.84409890321,448.28964664790055,-0.015675973983333334,0.015675973983333334,0.0,0.0,18.82202477810751,0.0,0.0,0.0,0.49741080280410965,0.0,0.0,18.82202477810751,0.0,0.0,0.0,0.49741080280410965,0.0,0.0,18.82202477810751,0.0,0.0,0.0,18.82202477810751,429.46762164879885,448.28964664790055,2.28925897460064e-05,2.2892589746006397e-05,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015675973983333334,0.0,0.0,0.0
22,22,0.0,23000734.774853207,429.4676216487988,-0.016857764333333334,121579.15614730322,448.28755637004076,-0.016857764333333334,0.016857764333333334,0.0,0.0,18.819934721241907,0.0,0.0,0.0,0.49735556874317927,0.0,0.0,18.819934721241907,0.0,0.0,0.0,0.49735556874317927,0.0,0.0,18.819934721241907,0.0,0.0,0.0,18.819934721241907,429.46762164879885,448.28755637004076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016857764333333334,0.0,0.0,0.0
23,23,0.0,23000734.774853207,429.4676216487988,-0.01643226313888889,121520.00000000322,448.28551885218565,-0.01643226313888889,0.01643226313888889,0.0,0.0,18.81789720338677,0.0,0.0,0.0,0.49730172313389975,0.0,0.0,18.81789720338677,0.0,0.0,0.0,0.49730172313389975,0.0,0.0,18.81789720338677,0.0,0.0,0.0,18.81789720338677,429.46762164879885,448.28551885218565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01643226313888889,0.0,0.0,0.0
