,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
10,10,-0.1227008509310308,198966.57100659228,29.83161095167765,0.07644959000880856,9275.218803377715,139.28087021694358,0.04625126092222222,-0.04625126092222222,0.04625126092222222,-0.1227008509310308,0.12270085093103078,109.4495603752394,2751.9807641941097,131743.91511723454,164679.8938965432,1.0,0.0,0.0,109.4495603752394,0.0,0.0,0.12270085093103078,109.4495603752394,29.83161095167765,139.28087021694358,109.44925926526594,1.0,0.8271725442451721,-174512.2312185986,9832.337322055437,9832.337322055439,0.0,0.0,0.0,0.0,0.0,0.0,-0.1227008509310308,0.12270085093103078,164679.8938965432,0.0,0.0,0.0,0.12270085093103078,-0.04625126092222222,9832.337322055437,-174512.2312185986,0.0
11,11,-0.14243777431023352,198453.79501907542,29.830756325031793,0.08981289263801127,9598.545216874554,139.43009779240364,0.05262488167222223,-0.05262488167222223,0.05262488167222223,-0.14243777431023352,0.1424377743102335,109.59974723609379,2753.8680784442763,153145.31905221863,191431.6488152733,1.0,0.0,0.0,109.59974723609379,0.0,0.0,0.1424377743102335,109.59974723609379,29.830756325031793,139.43009779240364,109.59934146737184,1.0,0.9073690875066988,-191431.64881527328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14243777431023352,0.1424377743102335,191431.6488152733,0.0,0.0,0.0,0.1424377743102335,-0.05262488167222223,0.0,-191431.64881527328,0.0
12,12,-0.14228601562080193,197941.56536284057,29.82990260893807,0.08583121644301792,9907.537596069422,139.57270965972435,0.05645479917777778,-0.05645479917777778,0.05645479917777778,-0.1422860156208019,0.14228601562079604,109.74321195648433,2755.6700013609134,153182.40602841965,191478.00753552455,1.0,0.0,0.0,109.74321195648433,-5.132557087023743e-11,-2.5662785435118716e-11,0.14228601562079604,109.74321195648433,29.82990260893807,139.57270965972435,109.74280705078628,1.0,0.9075888237412905,-191478.00753552452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1422860156208019,0.14228601562079604,191478.00753552455,0.0,0.0,-2.5662785435118716e-11,0.14228601562079604,-0.05645479917777778,0.0,-191478.00753552452,0.0
13,13,-0.13108234274040614,197469.6689289751,29.829116114881625,0.07794351356262319,10188.134244894865,139.7022158053361,0.05313882917777778,-0.05313882917777778,0.05313882917777778,-0.13108234274040614,0.13108234274040106,109.87344334175744,2757.3046118930947,141288.21260743993,176610.2657592999,1.0,0.0,0.0,109.87344334175744,0.0,0.0,0.13108234274040106,109.87344334175744,29.829116114881625,139.7022158053361,109.87309969045447,1.0,0.8371170424435377,-176610.2657592999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13108234274040614,0.13108234274040106,176610.2657592999,0.0,0.0,0.0,0.13108234274040106,-0.05313882917777778,0.0,-176610.2657592999,0.0
14,14,-0.10992093246197447,197073.953572112,29.82845658928685,0.05841375755087096,10398.423772077998,139.79927251018987,0.051507174911111106,-0.051507174911111106,0.051507174911111106,-0.10992093246197446,0.10992093246198122,109.9710575721404,2758.5291929454525,118584.46888374754,148230.58610468445,1.0,0.0,0.0,109.9710575721404,-5.132557087023743e-11,-2.5662785435118716e-11,0.10992093246198208,109.9710575721404,29.82845658928685,139.79927251018987,109.970815920903,1.0,0.7025998704330214,-148230.58610468442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10992093246197446,0.10992093246198122,148230.58610468445,0.0,0.0,-2.5662785435118716e-11,0.10992093246198208,-0.051507174911111106,0.0,-148230.58610468442,0.0
15,15,0.0,197073.953572112,29.82845658928685,-0.0522552462444445,10210.304885597998,139.71244840873754,0.05225524624444444,-0.05225524624444444,0.05225524624444444,0.0,0.0,109.88399181945066,2757.436981439769,0.0,0.0,0.0,0.0,0.0,109.88399181945066,0.0,0.0,0.0,109.88399181945066,29.82845658928685,139.71244840873754,109.88399181945067,1.0,0.5186243614651183,-109416.46348548644,109416.46348548644,109416.46348548643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05225524624444444,109416.46348548644,-109416.46348548644,0.0
16,16,0.0,197073.953572112,29.82845658928685,-0.055339081738888886,10011.084191337995,139.62050039600214,0.055339081738888886,-0.055339081738888886,0.055339081738888886,0.0,0.0,109.79204380671528,2756.2830648967124,0.0,0.0,0.0,0.0,0.0,109.79204380671528,0.0,0.0,0.0,109.79204380671528,29.82845658928685,139.62050039600214,109.79204380671528,1.0,0.32243077805000214,-68024.63994063236,68024.63994063236,68024.63994063236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055339081738888886,68024.63994063236,-68024.63994063236,0.0
17,17,0.0,197073.953572112,29.82845658928685,-0.060539685772222226,9793.141322557996,139.51991137964217,0.060539685772222226,-0.060539685772222226,0.060539685772222226,0.0,0.0,109.6914547903553,2755.0201530997842,0.0,0.0,0.0,-1.4069300633699674e-16,0.0,109.6914547903553,0.0,0.0,0.0,109.6914547903553,29.82845658928685,139.51991137964217,109.6914547903553,0.0,0.11917990763987955,-25143.909506379,25143.909506379,25143.909506379005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4069300633699674e-16,0.0,0.0,-0.060539685772222226,25143.909506379,-25143.909506379,0.0
18,18,0.0,197073.953572112,29.82845658928685,-0.006790106403888889,9768.696939503998,139.50862935669417,0.006790106403888889,-0.006790106403888889,0.006790106403888889,0.0,0.0,109.68017276740733,2754.8784693195366,0.0,0.0,0.0,0.0,0.0,109.68017276740733,0.0,0.0,0.0,109.68017276740733,29.82845658928685,139.50862935669417,109.68017276740733,0.0,0.006622110122458065,-1397.0957098195167,1397.0957098195167,1397.095709819517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,1397.0957098195167,-1397.0957098195167,0.0
19,19,0.0,197073.953572112,29.82845658928685,-0.022238088677777774,9688.639820263996,139.47167991704495,0.022238088677777778,-0.022238088677777778,0.022238088677777778,0.0,0.0,109.64322332775815,2754.414393691201,0.0,0.0,0.0,0.0,0.0,109.64322332775815,0.0,0.0,0.0,109.64322332775815,29.82845658928685,139.47167991704495,109.64322332775811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
