,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
12,12,-0.0288580813350338,199896.11090719217,29.833160184845326,0.0113633363350338,9620.190990006056,135.20604169715324,-0.017494745,0.017494745,0.0,0.0,105.37289816806991,2700.2428294756564,0.0,0.0,0.0,-0.028858081335033797,0.028858081335033797,105.37289816806992,2700.2428326763634,29830.833498400887,37288.5418730011,1.0,0.028858081335033793,105.37289816806991,29.83316018484533,135.20604169715324,105.3728815123079,1.0,-37288.5418730011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0288580813350338,0.028858081335033797,37288.5418730011,0.028858081335033793,-0.017494745,0.0,-37288.5418730011
13,13,0.0,199896.11090719214,29.833160184845326,-0.00918538095,9587.123618586058,135.14935477471894,-0.00918538095,0.00918538095,0.0,0.0,105.31619458987358,2699.5162002963466,0.0,0.0,0.0,0.0,0.0,105.31619458987358,2699.5162002963466,0.0,0.0,0.0,0.0,105.31619458987358,29.83316018484533,135.14935477471894,105.31619458987359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00918538095,0.0,0.0
14,14,-0.05282759978479966,199705.93154796687,29.832843219246616,0.04581032022959199,9752.04077141259,135.43206989385016,-0.007017279554166667,0.007017279554166667,0.0,0.0,105.59928248969435,2703.142030953457,0.0,0.0,0.0,-0.05282759978375866,0.05282759978375866,105.59928248969435,2703.142041614279,54725.630639741124,68407.0382996764,1.0,0.052827599783758665,105.59928248969435,29.83284321924661,135.43206989385016,105.59922667460353,1.0,-68407.0382996764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05282759978479966,0.05282759978375866,68407.0382996764,0.052827599783758665,-0.007017279554166667,0.0,-68407.0382996764
15,15,0.0,199705.93154796687,29.832843219246616,-0.006874829900000001,9727.291383772588,135.38964237218158,-0.006874829900000001,0.006874829900000001,0.0,0.0,105.55679915293491,2702.5982296937227,0.0,0.0,0.0,0.0,0.0,105.55679915293494,2702.5982296937223,1.4504257913957838e-11,1.81303223924473e-11,0.0,0.0,105.55679915293491,29.832843219246616,135.38964237218158,105.55679915293493,1.0,-1.8130322392447297e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81303223924473e-11,0.0,-0.006874829900000001,0.0,-1.8130322392447297e-11
16,16,0.0,199705.93154796687,29.83284321924661,-0.006141099495833333,9705.18342558759,135.351743015293,-0.006141099495833333,0.006141099495833333,0.0,0.0,105.51889979604647,2702.113013589592,0.0,0.0,0.0,0.0,0.0,105.51889979604647,2702.1130135895924,0.0,0.0,0.0,0.0,105.51889979604647,29.83284321924661,135.351743015293,105.51889979604643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006141099495833333,0.0,0.0
17,17,0.0,199705.93154796687,29.83284321924661,-0.0090726822125,9672.52176962259,135.29575160506727,-0.0090726822125,0.0090726822125,0.0,0.0,105.46290838582065,2701.396008416857,0.0,0.0,0.0,0.0,0.0,105.46290838582065,2701.3960084168575,0.0,0.0,0.0,0.0,105.46290838582065,29.83284321924661,135.29575160506727,105.46290838582067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0090726822125,0.0,0.0
18,18,0.0,199705.93154796687,29.83284321924661,-0.010394015966666666,9635.103312142588,135.23160567795873,-0.010394015966666666,0.010394015966666666,0.0,0.0,105.3987624587121,2700.5743455627203,0.0,0.0,0.0,0.0,0.0,105.3987624587121,2700.5743455627207,0.0,0.0,0.0,0.0,105.3987624587121,29.83284321924661,135.23160567795873,105.39876245871211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010394015966666666,0.0,0.0
19,19,0.0,199705.93154796687,29.83284321924661,-0.009253149941666667,9601.791972352588,135.174500524033,-0.009253149941666667,0.009253149941666667,0.0,0.0,105.3416573047864,2699.842659514199,0.0,0.0,0.0,0.0,0.0,105.34165730478641,2699.8426595141996,0.0,0.0,0.0,0.0,105.3416573047864,29.832843219246612,135.174500524033,105.34165730478641,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009253149941666667,0.0,0.0
20,20,0.0,199705.93154796687,29.832843219246612,-0.008568192337499999,9570.94647993759,135.12162253703588,-0.008568192337499999,0.008568192337499999,0.0,0.0,105.28877931778928,2699.1649581128504,0.0,0.0,0.0,0.0,0.0,105.28877931778928,2699.1649581128504,0.0,0.0,0.0,0.0,105.28877931778928,29.832843219246612,135.12162253703588,105.28877931778928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008568192337499999,0.0,0.0
21,21,0.0,199705.93154796687,29.832843219246612,-0.007708558895833334,9543.195667912589,135.07404971642157,-0.007708558895833334,0.007708558895833334,0.0,0.0,105.24120649717499,2698.555104911272,0.0,0.0,0.0,0.0,0.0,105.24120649717497,2698.555104911272,0.0,0.0,0.0,0.0,105.24120649717499,29.832843219246612,135.07404971642157,105.24120649717496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007708558895833334,0.0,0.0
22,22,0.0,199705.93154796687,29.832843219246612,-0.007832117183333334,9515.00004605259,135.02571436466158,-0.007832117183333334,0.007832117183333334,0.0,0.0,105.19287114541498,2697.935335360973,0.0,0.0,0.0,0.0,0.0,105.19287114541495,2697.9353353609727,0.0,0.0,0.0,0.0,105.19287114541498,29.832843219246612,135.02571436466158,105.19287114541497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007832117183333334,0.0,0.0
23,23,0.0,199705.93154796687,29.832843219246612,-0.004166666666666667,9500.000046052588,135.0000000789473,-0.004166666666666667,0.004166666666666667,0.0,0.0,105.16715685970067,2697.605561491519,0.0,0.0,0.0,0.0,0.0,105.16715685970067,2697.6055614915194,0.0,0.0,0.0,0.0,105.16715685970067,29.832843219246612,135.0000000789473,105.16715685970068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004166666666666667,0.0,0.0
