,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
10,10,-0.08290660219183935,199339.29839203958,29.83223216398673,0.06517660677933935,10339.024206943412,136.438327211903,-0.017729995412499998,0.017729995412499998,0.0,0.0,106.60623251801,2715.9994626465714,3.4401861432115103e-17,6.403958242967511e-17,0.0,-0.08290660219183935,0.08290660219183935,106.60623251801,2715.9994889139402,86704.31660841098,108380.39576051373,1.0,0.08290660219183935,106.60623251801,29.83223216398673,136.438327211903,106.60609504791626,1.0,-108380.39576051373,-9.07826574497046e-17,6.450476647149892e-08,6.450476656245977e-08,0.0,0.0,0.0,0.0,8.109660547538742e-17,-0.08290660219183935,0.08290660219183935,108380.39576051373,0.08290660219183935,-0.017729995412499998,-9.060452986129039e-17,-108380.39576051373
11,11,-0.06473522128677231,199106.2515954072,29.83184375265901,0.037224215790938986,10473.031383790792,136.6680538007842,-0.02751100549583333,0.02751100549583333,0.0,0.0,106.8362938611027,2718.9285115426133,3.432438356329334e-17,6.35329491667202e-17,0.0,-0.06473522128677231,0.06473522128677231,106.8362938611027,2718.9285275400907,67846.65773190533,84808.32216488167,1.0,0.06473522128677231,106.8362938611027,29.83184375265901,136.6680538007842,106.8362100481252,1.0,-84808.32216488167,-8.981915930859333e-17,6.577614495149064e-08,6.577614504148854e-08,0.0,0.0,0.0,0.0,8.028912293582652e-17,-0.06473522128677231,0.06473522128677231,84808.32216488167,0.06473522128677231,-0.02751100549583333,-8.964054823057985e-17,-84808.32216488167
12,12,-0.02780000011517345,199006.1715949926,29.83167695265832,0.010305255115173448,10510.130302205416,136.73165194663784,-0.017494745,0.017494745,0.0,0.0,106.89999045077965,2719.738913426797,3.4258612506661855e-17,6.306357068919035e-17,0.0,-0.02780000011517345,0.02780000011517345,106.89999045077965,2719.7389163761745,29153.551716536844,36441.93964567105,1.0,0.02780000011517345,106.89999045077965,29.83167695265832,136.73165194663784,106.89997499397953,1.0,-36441.93964567105,-8.890843639864571e-17,6.696405575542863e-08,6.696405584451619e-08,0.0,0.0,0.0,0.0,7.953042947327758e-17,-0.02780000011517345,0.02780000011517345,36441.93964567105,0.02780000011517345,-0.017494745,-8.872939853307479e-17,-36441.93964567105
13,13,-0.027800000098561678,198906.09159463775,29.83151015265773,0.018614619148561676,10577.142931140239,136.84653073909755,-0.00918538095,0.00918538095,0.0,0.0,107.01503604323992,2721.202009141717,3.44724126915326e-17,5.812478361870803e-17,0.0,-0.027800000098561678,0.027800000098561678,107.01503604323992,2721.202012089509,29184.92670311208,36481.1583788901,1.0,0.027800000098561678,107.01503604323992,29.83151015265773,136.84653073909755,107.01502058643982,1.0,-36481.1583788901,-7.676754369021661e-17,1.939154414665128e-07,1.9391544154354727e-07,0.0,0.0,0.0,0.0,6.996606791996573e-17,-0.027800000098561678,0.027800000098561678,36481.1583788901,0.027800000098561678,-0.00918538095,-7.650055799531283e-17,-36481.1583788901
14,14,-0.02780000008877925,198806.01159431814,29.8313433526572,0.020782720534612584,10651.960725064844,136.97478981439687,-0.007017279554166667,0.007017279554166667,0.0,0.0,107.14346191853977,2722.83434034234,3.45147578166903e-17,5.805375768576819e-17,0.0,-0.02780000008877925,0.02780000008877925,107.14346191853977,2722.8343432883644,29219.950740814187,36524.93842601773,1.0,0.02780000008877925,107.14346191853977,29.8313433526572,136.97478981439687,107.14344646173967,1.0,-36524.93842601773,-7.652933126373591e-17,1.9222995553904781e-07,1.922299556158438e-07,0.0,0.0,0.0,0.0,6.978887582500693e-17,-0.02780000008877925,0.02780000008877925,36524.93842601773,0.02780000008877925,-0.007017279554166667,-7.626285893881996e-17,-36524.93842601773
15,15,-0.02780000008091164,198705.9315940269,29.83117655265671,0.02092517018091164,10727.291337716126,137.10392800751336,-0.006874829900000001,0.006874829900000001,0.0,0.0,107.27276691165673,2724.4768573402494,3.4186596704334593e-17,5.88453113330968e-17,0.0,-0.02780000008091164,0.02780000008091164,107.27276691165673,2724.476860284498,29255.214531760234,36569.01816470029,1.0,0.02780000008091164,107.27276691165673,29.83117655265671,137.10392800751336,107.27275145485665,1.0,-36569.01816470029,-7.899587221195679e-17,1.7784635705778098e-07,1.7784635713704243e-07,0.0,0.0,0.0,0.0,7.160139198024637e-17,-0.02780000008091164,0.02780000008091164,36569.01816470029,0.02780000008091164,-0.006874829900000001,-7.87300042854954e-17,-36569.01816470029
16,16,0.0,198705.9315940269,29.83117655265671,-0.006141099495833333,10705.183379531127,137.0660286506248,-0.006141099495833333,0.006141099495833333,0.0,0.0,107.23485209796809,2723.9953410872176,3.407173879113179e-17,6.123951388165736e-17,0.0,0.0,0.0,107.23485209796809,2723.9953410872176,2.785636686893968e-15,3.4820458586174603e-15,0.0,0.0,107.23485209796809,29.83117655265671,137.0660286506248,107.23485209796809,1.0,-3.4820458586174603e-15,-8.526808911967975e-17,1.6703581686413182e-07,1.6703581694966751e-07,0.0,0.0,0.0,0.0,7.647089390008519e-17,0.0,0.0,3.4820458586174603e-15,0.0,-0.006141099495833333,-8.500062729268186e-17,-3.4820458586174603e-15
17,17,0.0,198705.9315940269,29.83117655265671,-0.0090726822125,10672.521723566126,137.01003724039907,-0.0090726822125,0.0090726822125,0.0,0.0,107.17886068774236,2723.2840972519157,3.6006483043172213e-17,6.999139473819297e-17,0.0,0.0,0.0,107.17886068774236,2723.2840972519157,0.0,0.0,0.0,0.0,107.17886068774236,29.83117655265671,137.01003724039907,107.17886068774236,1.0,0.0,-1.0069056625928701e-16,5.1594731013328126e-08,5.1594731114190527e-08,0.0,0.0,0.0,0.0,8.975326029459105e-17,0.0,0.0,0.0,0.0,-0.0090726822125,-1.0051865055282055e-16,0.0
18,18,0.0,198705.9315940269,29.83117655265671,-0.010394015966666666,10635.103266086126,136.9458913132905,-0.010394015966666666,0.010394015966666666,0.0,0.0,107.1147147606338,2722.4690404054527,3.727420575437947e-17,7.350974013084273e-17,0.0,0.0,0.0,107.1147147606338,2722.4690404054527,0.0,0.0,0.0,0.0,107.1147147606338,29.83117655265671,136.9458913132905,107.1147147606338,1.0,0.0,-1.0558498322203669e-16,4.4466303327929504e-08,4.446630343368161e-08,0.0,0.0,0.0,0.0,9.430826330110229e-17,0.0,0.0,0.0,0.0,-0.010394015966666666,-1.0541783313047174e-16,0.0
19,19,0.0,198705.9315940269,29.83117655265671,-0.009253149941666667,10601.791926296126,136.88878615936477,-0.009253149941666667,0.009253149941666667,0.0,0.0,107.05760960670807,2721.7432403126104,3.7035585253531754e-17,7.288700812362444e-17,0.0,0.0,0.0,107.05760960670807,2721.7432403126104,0.0,0.0,0.0,0.0,107.05760960670807,29.83117655265671,136.88878615936477,107.05760960670807,1.0,0.0,-1.047657728612961e-16,4.562856433474103e-08,4.562856443967463e-08,0.0,0.0,0.0,0.0,9.352989500234485e-17,0.0,0.0,0.0,0.0,-0.009253149941666667,-1.0459778612287799e-16,0.0
20,20,0.0,198705.9315940269,29.83117655265671,-0.008568192337499999,10570.946433881127,136.83590817236765,-0.008568192337499999,0.008568192337499999,0.0,0.0,107.00473161971094,2721.070994407345,3.612667256657551e-17,7.035022708922044e-17,0.0,0.0,0.0,107.00473161971094,2721.070994407345,0.0,0.0,0.0,0.0,107.00473161971094,29.83117655265671,136.83590817236765,107.00473161971094,1.0,0.0,-1.0121946946725776e-16,5.0246251835437016e-08,5.024625193682739e-08,0.0,0.0,0.0,0.0,9.023557644333589e-17,0.0,0.0,0.0,0.0,-0.008568192337499999,-1.0104849491814711e-16,0.0
21,21,0.0,198705.9315940269,29.83117655265671,-0.007708558895833334,10543.195621856126,136.78833535175335,-0.007708558895833334,0.007708558895833334,0.0,0.0,106.95715879909665,2720.4660519372997,3.405768794433069e-17,6.100595114277342e-17,0.0,0.0,0.0,106.95715879909665,2720.4660519372997,0.0,0.0,0.0,0.0,106.95715879909665,29.83117655265671,136.78833535175335,106.95715879909665,1.0,0.0,-8.476473552970959e-17,1.6409328503989998e-07,1.6409328512493115e-07,0.0,0.0,0.0,0.0,7.606424828108466e-17,0.0,0.0,0.0,0.0,-0.007708558895833334,-8.449822068776888e-17,0.0
22,22,0.0,198705.9315940269,29.83117655265671,-0.007832117183333334,10514.999999996126,136.73999999999336,-0.007832117183333334,0.007832117183333334,0.0,0.0,106.90882344733666,2719.8512752152383,3.4124067431036715e-17,5.913561553666498e-17,0.0,0.0,0.0,106.90882344733666,2719.8512752152383,0.0,0.0,0.0,0.0,106.90882344733666,29.83117655265671,136.73999999999336,106.90882344733666,1.0,0.0,-7.988069411607778e-17,1.6989509389805183e-07,1.6989509397819763e-07,0.0,0.0,0.0,0.0,7.220296094036868e-17,0.0,0.0,0.0,0.0,-0.007832117183333334,-7.961586317898177e-17,0.0
23,23,0.0,198705.9315940269,29.83117655265671,-0.004166666666666667,10499.999999996126,136.71428571427907,-0.004166666666666667,0.004166666666666667,0.0,0.0,106.88310916162237,2719.5241589091656,3.529848919561501e-17,5.736301220603613e-17,0.0,0.0,0.0,106.88310916162237,2719.5241589091656,0.0,0.0,0.0,0.0,106.88310916162237,29.83117655265671,136.71428571427907,106.88310916162237,1.0,0.0,-7.357685636117571e-17,2.952148654277713e-07,2.952148655016242e-07,0.0,0.0,0.0,0.0,6.765587148826933e-17,0.0,0.0,0.0,0.0,-0.004166666666666667,-7.330143628869548e-17,0.0
