Time_hour,Power,SOC,Q_cal_pct,Q_cyc_pct,SOH
10025,-4.8000000469090915,0.05975252027846715,1.0154724037294278,1.1647097368525474,0.9781981785941803
10026,-4.8000000469090915,0.059527635804581334,1.015468196312661,1.1647448868735777,0.9781978691681377
10027,-9.38460757498146e-09,0.059527632456408484,1.01546897355912,1.1647386082767708,0.9781979241816412
10028,4.800000045391398,0.059711672552919884,1.015473830762629,1.1647800379553261,0.9781974613128205
10029,-9.384607577351567e-09,0.05971166919360068,1.0154746081390293,1.1647737579265274,0.9781975163393445
10030,-4.8000000469090915,0.05948678837437946,1.0154703998891925,1.1648151900979216,0.9781971441001289
10031,-3.200000027604672,0.05933686408115651,1.0154678538842896,1.1648365312820737,0.9781969561483365
10032,-7.999837608759745e-09,0.059336862011527255,1.0154686307543082,1.1648323430334122,0.9781969902621228
10033,4.800000067325036,0.0595209021980639,1.0154734874638691,1.1648737793599404,0.978196527331762
10034,1.6000000352181636,0.05958224545453102,1.015475624686621,1.1648813079875304,0.9781964306732585
10035,2.4000000397929746,0.05967426459733027,1.0154784424519572,1.1648999325435994,0.9781962162500445
10036,3.2000000494451837,0.059796956479385675,1.0154819410645217,1.1649244168552093,0.9781959364208027
10037,2.8000000496964765,0.05990431111196444,1.015485100091795,1.1649444005377616,0.9781957049937046
10038,7.2000000962816655,0.06018036973989221,1.0154920040986581,1.1650029008396388,0.9781950509506171
10039,1.6000000352181631,0.06024171121752551,1.015494143471383,1.1650072827262328,0.9781949857380238
10040,9.97731508067318e-09,0.06024171040578534,1.0154949210796034,1.1650051862685873,0.9781949989265182
10041,-1.6000000083002528,0.06016675034690093,1.0154940344068513,1.1650190019989128,0.9781948696359425
10042,-7.99983785242732e-09,0.06016674953520062,1.015494811854672,1.1650169053821464,0.9781948828276319
10043,0.8000000190639885,0.060197423419948604,1.0154962703501096,1.1650238133278832,0.9781947991632202
10044,-9.38460759511498e-09,0.06019742325286389,1.0154970477704452,1.1650227649832,0.9781948018724637
10045,-4.8000000469090915,0.05997254200079044,1.0154928321999104,1.1650642148153358,0.9781944295298476
10046,-4.8000000469090915,0.05974765673675989,1.0154886176184559,1.1650993755342314,0.9781941200684733
10047,-9.384607598664939e-09,0.059747653367063364,1.0154893943488301,1.1650930824944585,0.978194175231567
10048,4.800000045391397,0.059931694291447395,1.0154942564818432,1.165134537314168,0.9781937120620399
10049,-9.384607601031645e-09,0.05993169091057286,1.0154950333422297,1.1651282428415894,0.9781937672381619
10050,-4.8000000469090915,0.0597068093241566,1.0154908179298034,1.1651697001552743,0.9781933948191492
10051,-4.000000037256881,0.059519404120870825,1.0154874352205385,1.165197953799122,0.9781931461098035
10052,-9.384607604581846e-09,0.059519401399912256,1.0154882115191708,1.1651927062339282,0.9781931908224691
10053,4.800000045391397,0.05970344240528049,1.0154930728934275,1.1652341681201572,0.9781927275898642
10054,-9.384607606948719e-09,0.05970343903452717,1.0154938493078631,1.1652278695875184,0.9781927828110462
10055,-4.8000000469090915,0.05947855713915087,1.0154896338269481,1.1652693339680429,0.9781924103220502
10056,-4.8000000469090915,0.05925367125843405,1.01548541933608,1.1653045008772727,0.9781921007978666
10057,-9.384607610499172e-09,0.05925366791095887,1.015486195133039,1.1652981994783165,0.9781921560538865
10058,4.800000045391397,0.05943770898909786,1.0154910554851981,1.1653396688477302,0.9781916927566708
10059,-9.384607612866214e-09,0.05943770563043343,1.0154918314120878,1.1653333660154974,0.9781917480257243
10060,-4.8000000469090915,0.05921282340060181,1.0154876160911812,1.1653748378795443,0.9781913754602929
10061,-4.8000000469090915,0.05898793719990259,1.0154834017608028,1.165410007972799,0.978191065902664
10062,-7.999838328993799e-09,0.05898793386460092,1.0154841770706622,1.1654037022737762,0.9781911212065557
10063,3.2000000480206174,0.059110628102326694,1.0154876749551145,1.165431353044619,0.9781908097200027
10064,1.6405517129026927e-08,0.0591106260308565,1.0154884503544785,1.165427148636884,0.9781908440100864
10065,1.600000030140765,0.05917197341204198,1.0154905873551927,1.1654409743442218,0.9781906843830059
10066,2.4000000397929746,0.05926399301310308,1.0154934054798272,1.1654596111464868,0.9781904698337369
10067,3.2000000545225795,0.05938668550851229,1.0154969051178238,1.1654841105198037,0.9781901898436237
10068,7.600000101107769,0.059678081823819305,1.0155041528376316,1.1655455868559865,0.9781895026030639
10069,2.4000000448703704,0.05977009682946814,1.015506973115564,1.1655563367836383,0.9781893669010081
10070,1.600000030140765,0.05983144248374594,1.0155091122674882,1.1655670096073936,0.9781892387812513
10071,9.977315080665085e-09,0.059831441671878934,1.0155098882365146,1.1655649055459043,0.9781892520621759
10072,-7.999838561868546e-09,0.059831442146191904,1.0155106641961924,1.1655649055458484,0.9781892443025797
10073,1.600000028716198,0.059892789748786965,1.015512803673286,1.1655787345107136,0.9781890846181599
10074,-7.999838618139299e-09,0.059892788935187596,1.0155135795972146,1.1655766302899278,0.9781890979011285
10075,-4.8000000469090915,0.05966790627560855,1.0155093571473865,1.1656181194115187,0.978188725234411
10076,-4.8000000469090915,0.059443019609766536,1.0155051356895948,1.165653296846818,0.978188415674636
10077,-9.384607634150694e-09,0.05944301624261093,1.0155059109394227,1.165646981230943,0.9781884710782964
10078,4.800000045391397,0.059627058121694054,1.0155107760021798,1.1656884753436627,0.9781880074865416
10079,-9.384607636513895e-09,0.05962705474331833,1.0155115513820023,1.1656821582937098,0.978188062903243
10080,-4.8000000469090915,0.059402171749203786,1.0155073290962535,1.1657236549021819,0.9781876901600156
10081,-4.8000000469090915,0.05917728476332801,1.0155031078030219,1.165758835522459,0.9781873805667453
10082,-9.384607640058795e-09,0.059177281408322714,1.0155038825664668,1.165752515604102,0.9781874360182943
10083,4.800000045391397,0.05936132336013082,1.0155087466050472,1.1657940172043777,0.9781869723619059
10084,-9.384607642422141e-09,0.059361319993899785,1.0155095214984422,1.1657876958517002,0.9781870278264985
10085,-3.200000027604672,0.05921139794995003,1.0155069648850346,1.1658153647838814,0.9781867767033109
